Time In Gate, Ch 1, Run #15
Time ( s )	Elapsed Time ( s )
1.0095	0.0783
2.0351	0.0783
3.0604	0.0784
4.0861	0.0783
5.1112	0.0785
6.1369	0.0784
7.1621	0.0785
8.1878	0.0784
9.2130	0.0786
10.2387	0.0785
11.2640	0.0787
12.2896	0.0786
13.3149	0.0787
14.3405	0.0786
15.3658	0.0788
16.3914	0.0787
17.4167	0.0788
18.4423	0.0787
19.4676	0.0790
20.4932	0.0789
21.5185	0.0790
22.5442	0.0789
23.5694	0.0790
24.5950	0.0789
25.6202	0.0791
26.6459	0.0790
27.6711	0.0792
28.6967	0.0791
29.7219	0.0793
30.7476	0.0792
31.7728	0.0794
32.7985	0.0792
33.8237	0.0794
34.8493	0.0793
35.8745	0.0795
36.9002	0.0794
37.9254	0.0796
38.9511	0.0794
39.9763	0.0797
41.0020	0.0795
42.0270	0.0797
43.0527	0.0797
44.0779	0.0798
45.1035	0.0797
46.1288	0.0798
47.1544	0.0797
48.1796	0.0799
49.2053	0.0798
50.2305	0.0800
51.2562	0.0799
52.2814	0.0800
53.3070	0.0799
54.3323	0.0801
55.3579	0.0800
56.3831	0.0802
57.4087	0.0801
58.4339	0.0802
59.4596	0.0802
60.4848	0.0803
61.5104	0.0802
62.5356	0.0805
63.5613	0.0803
64.5864	0.0805
