Time In Gate, Ch 1, Run #2
Time ( s )	Elapsed Time ( s )
0.2986	0.1054
1.3061	0.1057
2.3003	0.1055
3.3079	0.1058
4.3021	0.1056
5.3096	0.1057
6.3039	0.1058
7.3113	0.1057
8.3057	0.1059
9.3132	0.1059
10.3075	0.1059
11.3149	0.1060
12.3093	0.1059
13.3167	0.1061
14.3111	0.1060
15.3185	0.1061
16.3128	0.1060
17.3203	0.1061
18.3147	0.1061
19.3222	0.1061
20.3164	0.1063
21.3239	0.1062
22.3182	0.1063
23.3256	0.1063
24.3200	0.1062
25.3275	0.1064
26.3217	0.1063
27.3293	0.1065
28.3235	0.1065
29.3310	0.1065
30.3254	0.1065
31.3328	0.1066
32.3271	0.1066
33.3346	0.1066
34.3289	0.1066
35.3363	0.1067
36.3307	0.1066
37.3381	0.1067
38.3324	0.1067
39.3399	0.1068
40.3342	0.1068
41.3417	0.1068
42.3359	0.1069
43.3435	0.1069
44.3377	0.1069
45.3452	0.1070
46.3394	0.1069
47.3470	0.1070
48.3413	0.1070
49.3487	0.1071
50.3430	0.1070
51.3505	0.1071
52.3448	0.1071
53.3523	0.1072
54.3465	0.1072
55.3540	0.1072
56.3483	0.1073
57.3558	0.1074
58.3500	0.1073
59.3576	0.1073
