Time In Gate, Ch 1, Run #5
Time ( s )	Elapsed Time ( s )
0.1487	0.0822
1.0949	0.0825
2.0556	0.0825
3.0017	0.0826
3.9626	0.0826
4.9086	0.0827
5.8696	0.0827
6.8155	0.0827
7.7765	0.0828
8.7225	0.0829
9.6834	0.0829
10.6293	0.0829
11.5904	0.0829
12.5363	0.0831
13.4973	0.0831
14.4432	0.0831
15.4042	0.0831
16.3501	0.0833
17.3111	0.0832
18.2571	0.0834
19.2180	0.0834
20.1639	0.0835
21.1249	0.0835
22.0708	0.0835
23.0318	0.0836
23.9778	0.0837
24.9387	0.0836
25.8847	0.0837
26.8456	0.0838
27.7916	0.0839
28.7525	0.0838
29.6985	0.0839
30.6594	0.0839
31.6054	0.0840
32.5664	0.0840
33.5123	0.0841
34.4733	0.0842
35.4193	0.0842
36.3802	0.0842
37.3261	0.0843
38.2871	0.0843
39.2331	0.0844
40.1941	0.0844
41.1401	0.0845
42.1011	0.0845
43.0470	0.0846
44.0080	0.0846
44.9539	0.0846
45.9149	0.0846
46.8608	0.0848
47.8218	0.0847
48.7677	0.0848
49.7287	0.0849
50.6745	0.0849
51.6356	0.0849
52.5815	0.0850
53.5425	0.0850
54.4883	0.0851
55.4495	0.0851
56.3953	0.0852
57.3563	0.0852
58.3021	0.0853
59.2633	0.0853
60.2091	0.0854
61.1702	0.0853
62.1160	0.0854
63.0771	0.0854
64.0230	0.0855
64.9839	0.0855
65.9299	0.0856
66.8909	0.0856
67.8367	0.0857
68.7978	0.0857
69.7437	0.0857
70.7047	0.0857
71.6505	0.0858
72.6116	0.0858
73.5573	0.0859
74.5185	0.0860
75.4643	0.0860
76.4254	0.0860
77.3711	0.0861
78.3323	0.0862
