Time In Gate, Ch 1, Run #13
Time ( s )	Elapsed Time ( s )
0.1934	0.0808
1.1942	0.0809
2.1894	0.0809
3.1900	0.0810
4.1853	0.0810
5.1860	0.0811
6.1812	0.0810
7.1820	0.0812
8.1772	0.0810
9.1779	0.0813
10.1731	0.0812
11.1739	0.0813
12.1691	0.0812
13.1698	0.0814
14.1650	0.0813
15.1658	0.0815
16.1609	0.0814
17.1617	0.0816
18.1569	0.0814
19.1576	0.0816
20.1528	0.0816
21.1535	0.0817
22.1487	0.0815
23.1495	0.0817
24.1446	0.0817
25.1454	0.0818
26.1405	0.0817
27.1412	0.0819
28.1364	0.0819
29.1371	0.0821
30.1324	0.0819
31.1330	0.0821
32.1282	0.0820
33.1289	0.0821
34.1241	0.0820
35.1248	0.0822
36.1200	0.0821
37.1207	0.0823
38.1158	0.0823
39.1166	0.0824
40.1117	0.0823
41.1125	0.0825
42.1077	0.0823
43.1085	0.0825
44.1035	0.0825
45.1043	0.0827
46.0995	0.0825
47.1002	0.0827
48.0954	0.0826
49.0962	0.0828
50.0912	0.0827
51.0920	0.0828
52.0871	0.0827
53.0879	0.0830
54.0829	0.0829
55.0837	0.0830
56.0789	0.0829
57.0796	0.0830
58.0747	0.0830
59.0756	0.0831
60.0706	0.0830
61.0714	0.0832
62.0664	0.0831
63.0672	0.0833
64.0623	0.0831
