Time In Gate, Ch 1, Run #6
Time ( s )	Elapsed Time ( s )
1.8823	0.0864
2.8681	0.0863
3.8449	0.0863
4.8308	0.0864
5.8076	0.0864
6.7934	0.0864
7.7702	0.0864
8.7560	0.0865
9.7328	0.0864
10.7186	0.0867
11.6955	0.0865
12.6812	0.0867
13.6580	0.0865
14.6437	0.0868
15.6207	0.0866
16.6063	0.0869
17.5832	0.0867
18.5689	0.0869
19.5459	0.0868
20.5314	0.0870
21.5084	0.0869
22.4940	0.0870
23.4710	0.0869
24.4566	0.0870
25.4336	0.0870
26.4191	0.0871
27.3962	0.0870
28.3817	0.0872
29.3588	0.0871
30.3443	0.0872
31.3213	0.0872
32.3068	0.0873
33.2838	0.0873
34.2694	0.0873
35.2463	0.0873
36.2320	0.0874
37.2089	0.0874
38.1945	0.0874
39.1714	0.0875
40.1570	0.0875
41.1341	0.0875
42.1196	0.0875
43.0966	0.0875
44.0822	0.0876
45.0591	0.0876
46.0447	0.0877
47.0216	0.0877
48.0073	0.0878
48.9841	0.0877
49.9698	0.0878
50.9468	0.0877
51.9324	0.0878
52.9093	0.0878
53.8949	0.0879
54.8718	0.0878
55.8574	0.0880
56.8344	0.0879
57.8200	0.0881
58.7969	0.0879
59.7824	0.0881
60.7593	0.0881
61.7450	0.0882
62.7219	0.0881
63.7075	0.0882
64.6844	0.0882
65.6700	0.0883
66.6469	0.0883
67.6325	0.0883
68.6094	0.0883
69.5951	0.0884
70.5719	0.0883
71.5576	0.0884
72.5344	0.0884
73.5200	0.0885
74.4969	0.0885
