Time In Gate, Ch 1, Run #3
Time ( s )	Elapsed Time ( s )
0.4207	0.0760
1.3915	0.0760
2.3561	0.0761
3.3269	0.0761
4.2916	0.0762
5.2623	0.0762
6.2271	0.0763
7.1977	0.0763
8.1625	0.0764
9.1333	0.0763
10.0980	0.0764
11.0687	0.0764
12.0334	0.0766
13.0041	0.0765
13.9689	0.0766
14.9397	0.0767
15.9044	0.0767
16.8751	0.0767
17.8399	0.0768
18.8105	0.0767
19.7752	0.0769
20.7460	0.0768
21.7107	0.0770
22.6814	0.0769
23.6461	0.0771
24.6169	0.0770
25.5815	0.0771
26.5523	0.0772
27.5170	0.0773
28.4877	0.0773
29.4524	0.0774
30.4231	0.0773
31.3878	0.0775
32.3585	0.0775
33.3232	0.0775
34.2940	0.0776
35.2587	0.0776
36.2294	0.0776
37.1941	0.0778
38.1648	0.0777
39.1295	0.0778
40.1002	0.0778
41.0648	0.0779
42.0356	0.0779
43.0003	0.0780
43.9711	0.0780
44.9357	0.0781
45.9065	0.0781
46.8712	0.0782
47.8419	0.0782
48.8066	0.0782
49.7773	0.0783
50.7420	0.0783
51.7128	0.0784
52.6774	0.0785
53.6482	0.0784
54.6128	0.0785
55.5837	0.0785
56.5483	0.0786
57.5191	0.0786
58.4836	0.0787
59.4545	0.0787
60.4191	0.0788
61.3898	0.0788
62.3545	0.0789
63.3252	0.0789
64.2898	0.0790
65.2606	0.0790
