Time In Gate, Ch 1, Run #8
Time ( s )	Elapsed Time ( s )
0.2712	0.0731
1.2496	0.0731
2.2272	0.0732
3.2057	0.0732
4.1833	0.0733
5.1617	0.0733
6.1394	0.0733
7.1178	0.0733
8.0956	0.0734
9.0740	0.0734
10.0517	0.0734
11.0301	0.0734
12.0077	0.0735
12.9862	0.0735
13.9639	0.0735
14.9424	0.0735
15.9199	0.0736
16.8984	0.0736
17.8760	0.0736
18.8545	0.0736
19.8321	0.0737
20.8105	0.0737
21.7881	0.0738
22.7666	0.0737
23.7442	0.0738
24.7226	0.0738
25.7002	0.0738
26.6787	0.0738
27.6562	0.0739
28.6348	0.0739
29.6123	0.0739
30.5908	0.0739
31.5684	0.0740
32.5469	0.0740
33.5245	0.0741
34.5029	0.0741
35.4805	0.0741
36.4590	0.0741
37.4365	0.0741
38.4150	0.0742
39.3926	0.0742
40.3711	0.0742
41.3487	0.0743
42.3271	0.0742
43.3046	0.0743
44.2832	0.0743
45.2607	0.0744
46.2392	0.0744
47.2167	0.0745
48.1952	0.0744
49.1727	0.0745
50.1512	0.0745
51.1288	0.0746
52.1073	0.0746
53.0848	0.0746
54.0633	0.0746
55.0409	0.0747
56.0193	0.0747
56.9968	0.0747
57.9754	0.0747
58.9529	0.0748
59.9314	0.0748
60.9090	0.0748
61.8874	0.0748
62.8650	0.0748
63.8435	0.0748
64.8211	0.0749
