Time In Gate, Ch 1, Run #10
Time ( s )	Elapsed Time ( s )
1.0196	0.0872
1.9927	0.0871
2.9786	0.0873
3.9516	0.0872
4.9374	0.0874
5.9104	0.0873
6.8963	0.0874
7.8694	0.0873
8.8552	0.0875
9.8283	0.0874
10.8142	0.0876
11.7873	0.0875
12.7731	0.0876
13.7461	0.0875
14.7320	0.0877
15.7050	0.0876
16.6908	0.0877
17.6639	0.0876
18.6498	0.0878
19.6228	0.0876
20.6087	0.0878
21.5817	0.0878
22.5676	0.0879
23.5406	0.0878
24.5265	0.0880
25.4995	0.0878
26.4854	0.0880
27.4584	0.0879
28.4443	0.0880
29.4173	0.0880
30.4032	0.0882
31.3762	0.0880
32.3621	0.0882
33.3350	0.0881
34.3209	0.0883
35.2939	0.0881
36.2798	0.0883
37.2528	0.0882
38.2387	0.0883
39.2117	0.0882
40.1976	0.0884
41.1705	0.0883
42.1565	0.0885
43.1294	0.0883
44.1153	0.0885
45.0883	0.0884
46.0742	0.0886
47.0472	0.0885
48.0330	0.0887
49.0061	0.0885
49.9920	0.0887
50.9649	0.0886
51.9508	0.0888
52.9237	0.0887
53.9096	0.0889
54.8826	0.0888
55.8685	0.0890
56.8414	0.0888
57.8273	0.0889
58.8003	0.0888
59.7862	0.0890
60.7591	0.0889
61.7450	0.0891
62.7180	0.0890
63.7040	0.0891
