Velocity In Gate, Ch 1, Run #3
Time ( s )	Velocity In Gate ( m/s )
0.2460	0.34
1.2092	0.34
2.2416	0.34
3.2046	0.34
4.2371	0.34
5.2002	0.34
6.2326	0.34
7.1958	0.34
8.2282	0.34
9.1913	0.34
10.2238	0.34
11.1868	0.34
12.2193	0.34
13.1824	0.34
14.2150	0.34
15.1780	0.33
16.2105	0.34
17.1735	0.33
18.2060	0.34
19.1690	0.33
20.2016	0.33
21.1645	0.33
22.1971	0.33
23.1600	0.33
24.1927	0.33
25.1556	0.33
26.1881	0.33
27.1511	0.33
28.1838	0.33
29.1467	0.33
30.1793	0.33
31.1421	0.33
32.1749	0.33
33.1376	0.33
34.1705	0.33
35.1333	0.33
36.1660	0.33
37.1287	0.33
38.1616	0.33
39.1243	0.33
40.1571	0.33
41.1198	0.33
42.1527	0.33
43.1153	0.33
44.1483	0.33
45.1108	0.33
46.1438	0.33
47.1064	0.33
48.1394	0.33
49.1020	0.33
50.1350	0.33
51.0975	0.33
52.1305	0.33
53.0930	0.33
54.1262	0.33
55.0886	0.33
56.1218	0.33
57.0842	0.33
58.1173	0.33
59.0797	0.33
60.1128	0.33
61.0752	0.33
