Velocity In Gate, Ch 1, Run #2
Time ( s )	Velocity In Gate ( m/s )
0.3910	0.33
1.4119	0.33
2.3889	0.33
3.4097	0.33
4.3867	0.33
5.4077	0.33
6.3847	0.33
7.4055	0.33
8.3825	0.33
9.4034	0.33
10.3804	0.33
11.4014	0.33
12.3782	0.33
13.3992	0.33
14.3761	0.33
15.3971	0.33
16.3741	0.33
17.3950	0.33
18.3719	0.33
19.3930	0.33
20.3698	0.33
21.3909	0.33
22.3677	0.33
23.3888	0.33
24.3657	0.33
25.3867	0.33
26.3635	0.33
27.3846	0.33
28.3614	0.33
29.3825	0.33
30.3593	0.33
31.3803	0.33
32.3572	0.33
33.3782	0.33
34.3550	0.33
35.3761	0.33
36.3529	0.33
37.3740	0.33
38.3508	0.33
39.3720	0.33
40.3488	0.33
41.3698	0.33
42.3467	0.33
43.3679	0.33
44.3445	0.33
45.3657	0.33
46.3424	0.33
47.3636	0.33
48.3402	0.33
49.3615	0.33
50.3381	0.33
51.3593	0.33
52.3360	0.33
53.3572	0.33
54.3339	0.33
55.3552	0.33
56.3317	0.33
57.3530	0.33
58.3297	0.33
59.3510	0.33
60.3276	0.33
61.3489	0.33
