61216.973861,0.09
61217.488861,0.09
61217.550861,0.075
61217.612861,0.075
61217.664861,0.075
61217.725861,0.075
61217.787861,0.075
61217.839861,0.075
61217.890861,0.075
61217.951861,0.075
61218.012861,0.075
61218.075861,0.075
61218.126861,0.075
61218.178861,0.08
61218.228861,0.08
61218.280861,0.08
61218.331861,0.08
61218.383861,0.08
61218.434861,0.085
61218.485861,0.085
61218.546861,0.085
61218.598861,0.085
61218.670861,0.085
61218.731861,0.085
61218.783861,0.085
61218.836861,0.085
61218.887861,0.085
61218.969861,0.085
61219.032861,0.085
61219.084861,0.09
61219.137861,0.09
61219.188861,0.085
61219.269861,0.085
61219.320861,0.085
61219.371861,0.085
61219.433861,0.085
61219.484861,0.085
61219.535861,0.08
61219.587861,0.08
61219.638861,0.08
61219.689861,0.08
61219.750861,0.08
61219.802861,0.075
61219.873861,0.075
61219.924861,0.075
61219.986861,0.075
61220.050861,0.075
61220.111861,0.075
61220.173861,0.075
61220.224861,0.075
61220.285861,0.075
61220.347861,0.075
61220.399861,0.075
61220.472861,0.075
61220.535861,0.08
61220.586861,0.08
61220.639861,0.08
61220.690861,0.08
61220.772861,0.085
61220.824861,0.085
61220.895861,0.09
61220.967861,0.095
61221.018861,0.1
61221.131861,0.105
61221.203861,0.105
61221.287861,0.105
61221.359861,0.105
61221.433861,0.1
61221.505861,0.095
61221.566861,0.09
61221.640861,0.085
61221.691861,0.085
61221.773861,0.08
61221.836861,0.08
61221.928861,0.08
61221.980861,0.08
61222.042861,0.08
61222.114861,0.085
61222.186861,0.085
61223.623861,0.085
61223.675861,0.08
61223.726861,0.08
61223.829861,0.08
61223.900861,0.085
61223.972861,0.085
61224.034861,0.085
61224.107861,0.085
61224.188861,0.085
61224.261861,0.08
61224.312861,0.08
61224.437861,0.08
61224.489861,0.075
61224.551861,0.075
61224.602861,0.075
61224.674861,0.075
61224.726861,0.075
61224.808861,0.075
61224.890861,0.075
61224.984861,0.075
61225.036861,0.08
61225.087861,0.08
61225.138861,0.08
61225.200861,0.08
61225.271861,0.08
61225.343861,0.08
61225.470861,0.085
61225.529861,0.085
61225.611861,0.085
61225.662861,0.085
61225.733861,0.085
61225.795861,0.085
61225.867861,0.085
61225.949861,0.08
61226.021861,0.08
61226.092861,0.08
61226.174861,0.08
61226.235861,0.08
61226.318861,0.08
61226.390861,0.075
61226.472861,0.065
61226.523861,0.065
61226.595861,0.07
61226.667861,0.105
61226.729861,0.55
61226.811861,0.83
61226.882861,0.815
61226.964861,0.745
61227.026861,0.385
61227.128861,0.185
61227.201861,0.26
61227.272861,0.825
61227.324861,0.855
61227.436861,0.86
61227.508861,0.855
61227.570861,0.855
61227.631861,0.865
61227.734861,0.885
61227.815861,0.895
61227.877861,0.905
61227.928861,0.9
61228.030861,0.895
61228.112861,0.885
61228.183861,0.865
61228.265861,0.85
61228.337861,0.84
61228.398861,0.845
61228.450861,0.845
61228.502861,0.845
61228.624861,0.84
61228.676861,0.825
61228.727861,0.81
61228.808861,0.795
61228.912861,0.795
61229.003861,0.795
61229.075861,0.79
61229.156861,0.785
61229.218861,0.785
61229.280861,0.785
61229.352861,0.785
61229.454861,0.785
61229.526861,0.78
61229.598861,0.76
61229.649861,0.735
61229.722861,0.715
61229.814861,0.715
61229.885861,0.73
61229.958861,0.78
61230.010861,0.82
61230.071861,0.83
61230.122861,0.83
61230.184861,0.825
61230.255861,0.81
61230.306861,0.785
61230.377861,0.765
61230.429861,0.75
61230.503861,0.745
61230.554861,0.77
61230.605861,0.795
61230.697861,0.82
61230.769861,0.82
61230.830861,0.8
61230.891861,0.74
61230.963861,0.605
61231.035861,0.465
61231.106861,0.21
61231.178861,0.1
61231.259861,0.09
61231.337861,0.1
61231.408861,0.1
61231.469861,0.085
61231.521861,0.08
61231.633861,0.075
61231.704861,0.075
61231.777861,0.08
61231.868861,0.095
61231.939861,0.115
61231.991861,0.14
61232.072861,0.19
61232.123861,0.71
61232.235861,0.825
61232.297861,0.835
61232.388861,0.815
61232.470861,0.79
61232.521861,0.79
61232.572861,0.795
61232.654861,0.8
61232.705861,0.805
61232.807861,0.8
61232.859861,0.795
61232.930861,0.785
61233.001861,0.765
61233.073861,0.68
61233.134861,0.465
61233.185861,0.17
61233.266861,0.075
61233.318861,0.055
61233.400861,0.05
61233.472861,0.055
61233.554861,0.065
61233.615861,0.08
61233.727861,0.09
61233.808861,0.07
61233.879861,0.06
61233.962861,0.06
61234.034861,0.06
61234.106861,0.07
61234.167861,0.085
61234.218861,0.1
61234.289861,0.09
61234.391861,0.07
61234.472861,0.065
61234.524861,0.065
61234.646861,0.075
