"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"61163.575861";"Altitude (GPS)";"90.0401059125519";"feet";"37.2553267399546";"-76.7362601153854";
"61164.066861";"Altitude (GPS)";"91.0490608315277";"feet";"37.2553267399546";"-76.7362601153854";
"61164.066861";"Average speed (GPS)";"0";"mph";"37.2553267399546";"-76.7362601153854";
"61164.066861";"Speed (GPS)";"0";"mph";"37.2553267399546";"-76.7362601153854";
"61164.151861";"Altitude (GPS)";"91.0490608315277";"feet";"37.2550993490518";"-76.7359467622187";
"61164.651861";"Altitude (GPS)";"121.249793520966";"feet";"37.2550993490518";"-76.7359467622187";
"61164.651861";"Average speed (GPS)";"0";"mph";"37.2550993490518";"-76.7359467622187";
"61164.651861";"Speed (GPS)";"0";"mph";"37.2550993490518";"-76.7359467622187";
"61164.717861";"Altitude (GPS)";"121.249793520966";"feet";"37.255313331296";"-76.736088758406";
"61165.461861";"Altitude (GPS)";"100.068210690155";"feet";"37.255313331296";"-76.736088758406";
"61165.461861";"Average speed (GPS)";"0.34863373135934";"mph";"37.255313331296";"-76.736088758406";
"61165.461861";"Speed (GPS)";"0.850035780314129";"mph";"37.255313331296";"-76.736088758406";
"61165.486861";"Altitude (GPS)";"100.068210690155";"feet";"37.2553165164192";"-76.7360954639285";
"61166.533861";"Altitude (GPS)";"100.068210769599";"feet";"37.2553165164193";"-76.7360954639285";
"61167.559861";"Altitude (GPS)";"99.9737945031153";"feet";"37.2553182347095";"-76.7360988166898";
"61168.484861";"Altitude (GPS)";"75.920275189757";"feet";"37.2553172707906";"-76.7360931169956";
"61169.516861";"Altitude (GPS)";"75.740654005675";"feet";"37.2553162230527";"-76.7360875011205";
"61170.555861";"Altitude (GPS)";"75.7035082647082";"feet";"37.255315678229";"-76.7360849027305";
"61171.471861";"Altitude (GPS)";"75.6650609209582";"feet";"37.255315678229";"-76.7360849027305";
"61171.471861";"Average speed (GPS)";"0.0862296177874824";"mph";"37.255315678229";"-76.7360849027305";
"61171.471861";"Speed (GPS)";"0";"mph";"37.255315678229";"-76.7360849027305";
"61171.575861";"Altitude (GPS)";"75.6650609209582";"feet";"37.2553154267719";"-76.736083561626";
"61172.510861";"Altitude (GPS)";"75.3880197777735";"feet";"37.2553181508904";"-76.7360823881596";
"61173.546861";"Altitude (GPS)";"75.2781845275294";"feet";"37.2553207073709";"-76.7360811308741";
"61174.584861";"Altitude (GPS)";"75.3355551671703";"feet";"37.2553218808373";"-76.7360803765028";
"61175.504861";"Altitude (GPS)";"75.3202363097559";"feet";"37.255322425661";"-76.7360800412267";
"61176.533861";"Altitude (GPS)";"75.3694969658801";"feet";"37.2553227190277";"-76.7360798735886";
"61177.568861";"Altitude (GPS)";"75.4284695842883";"feet";"37.2553228866657";"-76.7360797059506";
"61178.498861";"Altitude (GPS)";"75.4470925194727";"feet";"37.2553229704847";"-76.7360796221315";
"61179.561861";"Altitude (GPS)";"75.4477933794543";"feet";"37.2553230123943";"-76.7360796221315";
"61180.597861";"Altitude (GPS)";"75.4767290075023";"feet";"37.2553230123943";"-76.7360795383125";
"61181.521861";"Altitude (GPS)";"75.5614333147571";"feet";"37.2553230962133";"-76.7360795383125";
"61182.562861";"Altitude (GPS)";"75.737450063418";"feet";"37.2553233057609";"-76.7360795383125";
"61183.494861";"Altitude (GPS)";"75.7159235527942";"feet";"37.2553234314894";"-76.7360796221315";
"61184.540861";"Altitude (GPS)";"75.6949977849719";"feet";"37.2553235153085";"-76.7360796221315";
"61185.580861";"Altitude (GPS)";"75.692094212588";"feet";"37.255323557218";"-76.7360796221315";
"61186.470861";"Altitude (GPS)";"80.7676356913633";"feet";"37.255323557218";"-76.7360796221315";
"61186.470861";"Average speed (GPS)";"0.0644994689948339";"mph";"37.255323557218";"-76.7360796221315";
"61186.470861";"Speed (GPS)";"0.0529298519732102";"mph";"37.255323557218";"-76.7360796221315";
"61186.507861";"Altitude (GPS)";"80.7676356913633";"feet";"37.2553433263263";"-76.7361012294614";
"61187.546861";"Altitude (GPS)";"80.2920732687717";"feet";"37.2553454024879";"-76.7361075612488";
"61188.480861";"Altitude (GPS)";"80.2309051520447";"feet";"37.2553454024879";"-76.7361075612488";
"61188.480861";"Average speed (GPS)";"0.0631929886658811";"mph";"37.2553454024879";"-76.7361075612488";
"61188.480861";"Speed (GPS)";"0.0482512109904003";"mph";"37.2553454024879";"-76.7361075612488";
"61188.591861";"Altitude (GPS)";"80.2309051520447";"feet";"37.2553433154654";"-76.7361180670052";
"61189.519861";"Altitude (GPS)";"80.571612791786";"feet";"37.2553436887176";"-76.736122762988";
"61190.559861";"Altitude (GPS)";"80.8692928688751";"feet";"37.255344413924";"-76.736122790656";
"61191.507861";"Altitude (GPS)";"81.077156239827";"feet";"37.2553445417931";"-76.7361214937546";
"61192.553861";"Altitude (GPS)";"81.8209798075829";"feet";"37.2553463557353";"-76.7361199292226";
"61193.581861";"Altitude (GPS)";"81.552079346728";"feet";"37.2553490214033";"-76.7361144287166";
"61194.472861";"Altitude (GPS)";"81.6776360925258";"feet";"37.2553490214033";"-76.7361144287166";
"61194.472861";"Average speed (GPS)";"0.0655188288316368";"mph";"37.2553490214033";"-76.7361144287166";
"61194.472861";"Speed (GPS)";"0.0752203332581509";"mph";"37.2553490214033";"-76.7361144287166";
"61194.504861";"Altitude (GPS)";"81.6776360925258";"feet";"37.2553562123632";"-76.7361114319957";
"61195.560861";"Altitude (GPS)";"81.4956192307644";"feet";"37.2553606774392";"-76.7361081413837";
"61196.491861";"Altitude (GPS)";"81.8624772970283";"feet";"37.2553577997942";"-76.7361039564525";
"61197.539861";"Altitude (GPS)";"81.1363312589591";"feet";"37.2553540487084";"-76.7361060002132";
"61198.597861";"Altitude (GPS)";"81.2024706645275";"feet";"37.2553536290087";"-76.7361072493566";
"61199.517861";"Altitude (GPS)";"81.9760089263565";"feet";"37.2553559626806";"-76.7361024168213";
"61200.564861";"Altitude (GPS)";"82.0640165627789";"feet";"37.2553522702962";"-76.7361022072985";
"61201.477861";"Altitude (GPS)";"81.9835006039407";"feet";"37.2553522702962";"-76.7361022072985";
"61201.477861";"Average speed (GPS)";"0.0693054403303061";"mph";"37.2553522702962";"-76.7361022072985";
"61201.477861";"Speed (GPS)";"0.0860546827694376";"mph";"37.2553522702962";"-76.7361022072985";
"61201.496861";"Altitude (GPS)";"81.9835006039407";"feet";"37.2553470860889";"-76.7361031829449";
"61202.534861";"Altitude (GPS)";"82.4902674181661";"feet";"37.2553462928412";"-76.7361052490328";
"61203.600861";"Altitude (GPS)";"82.7936856860952";"feet";"37.2553433005094";"-76.7361053599073";
"61204.525861";"Altitude (GPS)";"82.5949520296905";"feet";"37.2553437155628";"-76.7361107421652";
"61205.472861";"Altitude (GPS)";"83.1170993158983";"feet";"37.2553453575164";"-76.7361107906395";
"61206.504861";"Altitude (GPS)";"83.5960468058825";"feet";"37.2553438898758";"-76.7361067873527";
"61207.664861";"Altitude (GPS)";"83.5021808875037";"feet";"37.2553431886194";"-76.7361051224718";
"61208.487861";"Altitude (GPS)";"85.8544422595306";"feet";"37.2553474042692";"-76.7361075752006";
"61209.539861";"Altitude (GPS)";"85.5777508695389";"feet";"37.2553475091928";"-76.7361066858816";
"61210.482861";"Altitude (GPS)";"86.7218983652514";"feet";"37.2553513646016";"-76.7361068904238";
"61211.545861";"Altitude (GPS)";"86.4283134401525";"feet";"37.2553529542066";"-76.7361072898554";
"61212.592861";"Altitude (GPS)";"86.427062305399";"feet";"37.2553527964502";"-76.7361062457963";
"61213.528861";"Altitude (GPS)";"87.2000741988474";"feet";"37.2553562508969";"-76.7361020313112";
"61214.586861";"Altitude (GPS)";"87.5608962007584";"feet";"37.2553523275738";"-76.7360980860646";
"61215.516861";"Altitude (GPS)";"86.6640516999832";"feet";"37.2553451605888";"-76.7360954270365";
"61216.670861";"Altitude (GPS)";"87.4584526606389";"feet";"37.2553455269711";"-76.7360941917171";
"61216.973861";"Catalyst temperature Bank 1 Sensor 1";"224.6";"℉";"37.2553455269711";"-76.7360941917171";
"61216.973861";"Oxygen sensor 1 Wide Range Current (mA)";"0.01171875";"mA";"37.2553455269711";"-76.7360941917171";
"61216.973861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.7587853";"";"37.2553455269711";"-76.7360941917171";
"61216.973861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553455269711";"-76.7360941917171";
"61216.973861";"Oxygen sensor 2 Bank 1 Voltage";"0.09";"V";"37.2553455269711";"-76.7360941917171";
"61217.484861";"Altitude (GPS)";"85.6088929530017";"feet";"37.2553373692659";"-76.736099356124";
"61217.488861";"Catalyst temperature Bank 1 Sensor 1";"225.86";"℉";"37.2553373692659";"-76.736099356124";
"61217.488861";"Oxygen sensor 1 Wide Range Current (mA)";"0.02734375";"mA";"37.2553373692659";"-76.736099356124";
"61217.488861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.8206576";"";"37.2553373692659";"-76.736099356124";
"61217.488861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.488861";"Oxygen sensor 2 Bank 1 Voltage";"0.09";"V";"37.2553373692659";"-76.736099356124";
"61217.550861";"Catalyst temperature Bank 1 Sensor 1";"227.12";"℉";"37.2553373692659";"-76.736099356124";
"61217.550861";"Oxygen sensor 1 Wide Range Current (mA)";"0.01171875";"mA";"37.2553373692659";"-76.736099356124";
"61217.550861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.74847325";"";"37.2553373692659";"-76.736099356124";
"61217.550861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.550861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.612861";"Catalyst temperature Bank 1 Sensor 1";"227.12";"℉";"37.2553373692659";"-76.736099356124";
"61217.612861";"Oxygen sensor 1 Wide Range Current (mA)";"0";"mA";"37.2553373692659";"-76.736099356124";
"61217.612861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.71888215";"";"37.2553373692659";"-76.736099356124";
"61217.612861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.612861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.664861";"Catalyst temperature Bank 1 Sensor 1";"227.48";"℉";"37.2553373692659";"-76.736099356124";
"61217.664861";"Oxygen sensor 1 Wide Range Current (mA)";"0.01171875";"mA";"37.2553373692659";"-76.736099356124";
"61217.664861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.7516117";"";"37.2553373692659";"-76.736099356124";
"61217.664861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.664861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.725861";"Catalyst temperature Bank 1 Sensor 1";"227.48";"℉";"37.2553373692659";"-76.736099356124";
"61217.725861";"Oxygen sensor 1 Wide Range Current (mA)";"0";"mA";"37.2553373692659";"-76.736099356124";
"61217.725861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.7193305";"";"37.2553373692659";"-76.736099356124";
"61217.725861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.725861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.787861";"Catalyst temperature Bank 1 Sensor 1";"227.66";"℉";"37.2553373692659";"-76.736099356124";
"61217.787861";"Oxygen sensor 1 Wide Range Current (mA)";"0.0078125";"mA";"37.2553373692659";"-76.736099356124";
"61217.787861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.73771285";"";"37.2553373692659";"-76.736099356124";
"61217.787861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.787861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.839861";"Catalyst temperature Bank 1 Sensor 1";"227.84";"℉";"37.2553373692659";"-76.736099356124";
"61217.839861";"Oxygen sensor 1 Wide Range Current (mA)";"0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61217.839861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.71798545";"";"37.2553373692659";"-76.736099356124";
"61217.839861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.839861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.890861";"Catalyst temperature Bank 1 Sensor 1";"227.84";"℉";"37.2553373692659";"-76.736099356124";
"61217.890861";"Oxygen sensor 1 Wide Range Current (mA)";"0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61217.890861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.72426235";"";"37.2553373692659";"-76.736099356124";
"61217.890861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.890861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61217.951861";"Catalyst temperature Bank 1 Sensor 1";"228.02";"℉";"37.2553373692659";"-76.736099356124";
"61217.951861";"Oxygen sensor 1 Wide Range Current (mA)";"0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61217.951861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.70991515";"";"37.2553373692659";"-76.736099356124";
"61217.951861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61217.951861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61218.012861";"Catalyst temperature Bank 1 Sensor 1";"228.02";"℉";"37.2553373692659";"-76.736099356124";
"61218.012861";"Oxygen sensor 1 Wide Range Current (mA)";"0";"mA";"37.2553373692659";"-76.736099356124";
"61218.012861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.70363825";"";"37.2553373692659";"-76.736099356124";
"61218.012861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61218.012861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61218.075861";"Catalyst temperature Bank 1 Sensor 1";"228.2";"℉";"37.2553373692659";"-76.736099356124";
"61218.075861";"Oxygen sensor 1 Wide Range Current (mA)";"-0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61218.075861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.7121569";"";"37.2553373692659";"-76.736099356124";
"61218.075861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61218.075861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61218.126861";"Catalyst temperature Bank 1 Sensor 1";"228.2";"℉";"37.2553373692659";"-76.736099356124";
"61218.126861";"Oxygen sensor 1 Wide Range Current (mA)";"0.0078125";"mA";"37.2553373692659";"-76.736099356124";
"61218.126861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.71350195";"";"37.2553373692659";"-76.736099356124";
"61218.126861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61218.126861";"Oxygen sensor 2 Bank 1 Voltage";"0.075";"V";"37.2553373692659";"-76.736099356124";
"61218.178861";"Catalyst temperature Bank 1 Sensor 1";"228.56";"℉";"37.2553373692659";"-76.736099356124";
"61218.178861";"Oxygen sensor 1 Wide Range Current (mA)";"0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61218.178861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.72067555";"";"37.2553373692659";"-76.736099356124";
"61218.178861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61218.178861";"Oxygen sensor 2 Bank 1 Voltage";"0.08";"V";"37.2553373692659";"-76.736099356124";
"61218.228861";"Catalyst temperature Bank 1 Sensor 1";"228.56";"℉";"37.2553373692659";"-76.736099356124";
"61218.228861";"Oxygen sensor 1 Wide Range Current (mA)";"0.00390625";"mA";"37.2553373692659";"-76.736099356124";
"61218.228861";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.6924295";"";"37.2553373692659";"-76.736099356124";
"61218.228861";"Oxygen sensor 2 Bank 1 Short term fuel trim";"0";"%";"37.2553373692659";"-76.736099356124";
"61218.228861";"Oxygen sensor 2 Bank 1 Voltage";"0.08";"V";"37.2553373692659";"-76.736099356124";
"61218.280861";"Catalyst temperature Bank 1 Sensor 1";"228.74";"℉";"37.2553373692659";"-76.736099356124";
