Velocity In Gate, Ch 1, Run #14
Time ( s )	Velocity In Gate ( m/s )
0.4755	2.16
1.4225	2.16
2.3460	2.15
3.2930	2.15
4.2166	2.16
5.1637	2.15
6.0871	2.14
7.0342	2.15
7.9576	2.14
8.9046	2.14
9.8281	2.13
10.7751	2.14
11.6985	2.14
12.6456	2.13
13.5689	2.13
14.5159	2.12
15.4392	2.12
16.3862	2.12
17.3094	2.11
18.2565	2.12
19.1797	2.11
20.1268	2.11
21.0499	2.10
21.9970	2.10
22.9201	2.10
23.8672	2.10
24.7902	2.10
25.7373	2.10
26.6603	2.09
27.6074	2.09
28.5304	2.08
29.4775	2.08
30.4004	2.08
31.3476	2.08
32.2704	2.07
33.2176	2.08
34.1405	2.07
35.0876	2.07
36.0104	2.07
36.9576	2.07
37.8804	2.07
38.8275	2.07
39.7502	2.06
40.6974	2.06
41.6201	2.06
42.5673	2.06
43.4899	2.05
44.4371	2.05
45.3597	2.05
46.3069	2.05
47.2294	2.04
48.1766	2.04
49.0992	2.03
50.0464	2.04
50.9689	2.03
51.9161	2.03
52.8386	2.03
53.7858	2.03
54.7082	2.03
55.6554	2.02
56.5778	2.02
57.5251	2.02
58.4474	2.02
59.3947	2.02
60.3170	2.02
