Velocity In Gate, Ch 1, Run #13
Time ( s )	Velocity In Gate ( m/s )
0.1784	1.33
1.1273	1.34
2.0441	1.33
2.9929	1.33
3.9096	1.33
4.8585	1.33
5.7752	1.33
6.7240	1.33
7.6408	1.33
8.5895	1.33
9.5064	1.33
10.4550	1.33
11.3719	1.33
12.3206	1.32
13.2373	1.32
14.1861	1.32
15.1029	1.32
16.0517	1.32
16.9685	1.32
17.9172	1.32
18.8339	1.32
19.7827	1.32
20.6994	1.31
21.6481	1.31
22.5649	1.31
23.5137	1.31
24.4304	1.31
25.3792	1.31
26.2958	1.31
27.2446	1.31
28.1613	1.31
29.1101	1.30
30.0267	1.31
30.9756	1.30
31.8920	1.30
32.8410	1.30
33.7577	1.30
34.7065	1.30
35.6230	1.30
36.5718	1.30
37.4884	1.30
38.4372	1.30
39.3536	1.30
40.3035	1.29
41.2191	1.29
42.1680	1.29
43.0839	1.30
44.0353	1.29
44.9491	1.26
45.8989	1.29
46.8153	1.29
47.7643	1.29
48.6806	1.29
49.6296	1.29
50.5460	1.28
51.4951	1.28
52.4114	1.28
53.3605	1.28
54.2767	1.28
55.2258	1.28
56.1420	1.28
57.0911	1.28
58.0074	1.28
58.9565	1.28
59.8727	1.28
60.8218	1.27
