Velocity In Gate, Ch 1, Run #12
Time ( s )	Velocity In Gate ( m/s )
0.1987	0.62
1.1644	0.62
2.0615	0.62
3.0274	0.62
3.9245	0.62
4.8902	0.62
5.7877	0.62
6.7530	0.62
7.6506	0.62
8.6160	0.62
9.5135	0.62
10.4790	0.62
11.3764	0.62
12.3420	0.62
13.2394	0.62
14.2050	0.62
15.1023	0.62
16.0678	0.62
16.9652	0.62
17.9307	0.62
18.8281	0.62
19.7937	0.62
20.6909	0.62
21.6566	0.62
22.5537	0.62
23.5195	0.62
24.4167	0.62
25.3824	0.62
26.2796	0.62
27.2454	0.62
28.1425	0.61
29.1083	0.61
30.0053	0.61
30.9712	0.61
31.8683	0.61
32.8342	0.61
33.7313	0.61
34.6971	0.61
35.5941	0.61
36.5601	0.61
37.4570	0.61
38.4230	0.61
39.3200	0.61
40.2859	0.61
41.1829	0.61
42.1488	0.61
43.0457	0.61
44.0118	0.61
44.9085	0.61
45.8746	0.61
46.7713	0.61
47.7375	0.61
48.6342	0.61
49.6004	0.61
50.4971	0.61
51.4633	0.61
52.3599	0.61
53.3262	0.61
54.2228	0.61
55.1890	0.61
56.0857	0.61
57.0519	0.61
57.9485	0.61
58.9149	0.60
59.8113	0.60
60.7777	0.60
61.6742	0.60
62.6406	0.60
63.5370	0.60
64.5035	0.60
65.3999	0.60
66.3663	0.60
67.2628	0.60
68.2293	0.60
69.1256	0.60
70.0921	0.60
70.9884	0.60
71.9550	0.60
72.8512	0.60
73.8178	0.60
74.7140	0.60
75.6806	0.60
76.5769	0.60
77.5436	0.60
78.4398	0.60
79.4065	0.60
80.3026	0.60
81.2693	0.60
82.1654	0.60
83.1321	0.60
84.0282	0.60
84.9950	0.60
85.8911	0.60
86.8579	0.60
87.7539	0.60
88.7207	0.60
89.6167	0.60
90.5836	0.60
91.4795	0.59
92.4465	0.59
93.3423	0.59
94.3093	0.59
95.2053	0.59
96.1722	0.59
97.0681	0.59
98.0351	0.59
98.9309	0.59
