Velocity In Gate, Ch 1, Run #1
Time ( s )	Velocity In Gate ( m/s )
0.7191	0.73
1.7618	0.73
2.7208	0.73
3.7636	0.73
4.7225	0.73
5.7653	0.73
6.7242	0.73
7.7671	0.73
8.7260	0.73
9.7689	0.72
10.7277	0.73
11.7707	0.72
12.7293	0.72
13.7724	0.72
14.7310	0.72
15.7741	0.72
16.7327	0.72
17.7758	0.72
18.7344	0.72
19.7775	0.72
20.7360	0.72
21.7792	0.72
22.7377	0.72
23.7809	0.72
24.7394	0.72
25.7826	0.72
26.7410	0.72
27.7843	0.72
28.7427	0.72
29.7860	0.72
30.7444	0.72
31.7878	0.72
32.7460	0.72
33.7894	0.72
34.7477	0.72
35.7911	0.72
36.7493	0.72
37.7929	0.72
38.7510	0.72
39.7945	0.71
40.7526	0.72
41.7962	0.71
42.7543	0.71
43.7978	0.71
44.7560	0.71
45.7995	0.71
46.7576	0.71
47.8012	0.71
48.7593	0.71
49.8029	0.71
50.7609	0.71
51.8046	0.71
52.7626	0.71
53.8062	0.71
54.7641	0.71
55.8079	0.71
56.7657	0.71
57.8095	0.71
58.7673	0.71
59.8111	0.71
60.7689	0.71
61.8128	0.71
62.7705	0.71
