Velocity In Gate, Ch 1, Run #10
Time ( s )	Velocity In Gate ( m/s )
0.6699	0.70
1.6389	0.70
2.6794	0.70
3.6484	0.70
4.6890	0.70
5.6579	0.70
6.6986	0.70
7.6675	0.70
8.7081	0.70
9.6770	0.70
10.7178	0.70
11.6866	0.70
12.7273	0.70
13.6961	0.70
14.7369	0.70
15.7056	0.70
16.7463	0.70
17.7151	0.70
18.7559	0.70
19.7246	0.70
20.7655	0.70
21.7341	0.70
22.7750	0.70
23.7436	0.70
24.7846	0.69
25.7532	0.69
26.7941	0.69
27.7626	0.69
28.8037	0.69
29.7721	0.69
30.8132	0.69
31.7817	0.69
32.8227	0.69
33.7911	0.69
34.8323	0.69
35.8006	0.69
36.8419	0.69
37.8101	0.69
38.8513	0.69
39.8196	0.69
40.8609	0.69
41.8291	0.69
42.8704	0.69
43.8386	0.69
44.8799	0.69
45.8482	0.69
46.8895	0.69
47.8576	0.69
48.8990	0.69
49.8671	0.69
50.9086	0.69
51.8766	0.68
52.9180	0.68
53.8860	0.69
54.9275	0.68
55.8955	0.68
56.9370	0.68
57.9049	0.68
58.9465	0.68
59.9145	0.68
60.9561	0.68
61.9239	0.68
