Velocity In Gate, Ch 1, Run #6
Time ( s )	Velocity In Gate ( m/s )
0.3063	0.72
1.2739	0.72
2.3118	0.72
3.2794	0.72
4.3174	0.72
5.2850	0.72
6.3230	0.72
7.2905	0.72
8.3286	0.72
9.2961	0.72
10.3342	0.72
11.3017	0.72
12.3399	0.72
13.3073	0.72
14.3454	0.72
15.3129	0.72
16.3511	0.72
17.3184	0.72
18.3567	0.72
19.3240	0.72
20.3623	0.72
21.3295	0.72
22.3678	0.71
23.3351	0.72
24.3734	0.71
25.3407	0.71
26.3790	0.71
27.3463	0.71
28.3847	0.71
29.3518	0.71
30.3902	0.71
31.3574	0.71
32.3958	0.71
33.3629	0.71
34.4014	0.71
35.3685	0.71
36.4070	0.71
37.3740	0.71
38.4126	0.71
39.3796	0.71
40.4182	0.71
41.3851	0.71
42.4238	0.71
43.3907	0.71
44.4294	0.71
45.3962	0.71
46.4349	0.71
47.4018	0.71
48.4405	0.71
49.4073	0.71
50.4460	0.71
51.4129	0.71
52.4516	0.71
53.4184	0.70
54.4572	0.70
55.4239	0.70
56.4628	0.70
57.4295	0.70
58.4684	0.70
59.4350	0.70
60.4738	0.70
61.4404	0.70
