Velocity In Gate, Ch 1, Run #3
Time ( s )	Velocity In Gate ( m/s )
0.8913	0.73
1.8505	0.73
2.8952	0.73
3.8542	0.73
4.8990	0.73
5.8581	0.73
6.9028	0.73
7.8617	0.73
8.9065	0.73
9.8656	0.73
10.9103	0.73
11.8693	0.73
12.9142	0.73
13.8730	0.73
14.9179	0.73
15.8766	0.73
16.9216	0.73
17.8804	0.73
18.9254	0.73
19.8841	0.73
20.9291	0.72
21.8878	0.72
22.9329	0.72
23.8915	0.72
24.9366	0.72
25.8952	0.72
26.9404	0.72
27.8989	0.72
28.9442	0.72
29.9026	0.72
30.9479	0.72
31.9063	0.72
32.9516	0.72
33.9100	0.72
34.9553	0.72
35.9138	0.72
36.9591	0.72
37.9174	0.72
38.9629	0.72
39.9211	0.72
40.9666	0.72
41.9248	0.72
42.9703	0.72
43.9285	0.72
44.9740	0.72
45.9322	0.72
46.9778	0.72
47.9359	0.72
48.9815	0.72
49.9396	0.72
50.9853	0.72
51.9433	0.72
52.9889	0.71
53.9469	0.71
54.9925	0.71
55.9506	0.71
56.9963	0.71
57.9542	0.71
59.0000	0.71
59.9579	0.71
61.0037	0.71
61.9616	0.71
63.0075	0.71
63.9652	0.71
65.0112	0.71
65.9689	0.71
67.0149	0.71
67.9726	0.71
69.0186	0.71
69.9762	0.71
71.0222	0.71
71.9798	0.71
