Velocity In Gate, Ch 1, Run #9
Time ( s )	Velocity In Gate ( m/s )
0.9534	0.71
1.9882	0.71
2.9605	0.71
3.9954	0.71
4.9676	0.71
6.0025	0.71
6.9748	0.71
8.0097	0.71
8.9818	0.71
10.0168	0.71
10.9890	0.71
12.0239	0.71
12.9961	0.71
14.0311	0.71
15.0032	0.71
16.0382	0.71
17.0103	0.71
18.0453	0.71
19.0174	0.71
20.0524	0.71
21.0245	0.71
22.0595	0.70
23.0314	0.71
24.0666	0.70
25.0386	0.70
26.0737	0.70
27.0457	0.70
28.0808	0.70
29.0527	0.70
30.0879	0.70
31.0598	0.70
32.0950	0.70
33.0669	0.70
34.1021	0.70
35.0740	0.70
36.1093	0.70
37.0811	0.70
38.1163	0.70
39.0882	0.70
40.1234	0.70
41.0952	0.70
42.1305	0.70
43.1022	0.70
44.1376	0.70
45.1093	0.70
46.1446	0.70
47.1163	0.70
48.1518	0.70
49.1234	0.70
50.1588	0.70
51.1304	0.70
52.1659	0.70
53.1376	0.70
54.1730	0.70
55.1446	0.70
56.1800	0.70
57.1516	0.70
58.1871	0.69
59.1586	0.70
60.1942	0.69
