Velocity In Gate, Ch 1, Run #19
Time ( s )	Velocity In Gate ( m/s )
0.6672	0.87
1.6527	0.87
2.6705	0.87
3.6560	0.87
4.6738	0.87
5.6593	0.87
6.6771	0.87
7.6626	0.87
8.6805	0.87
9.6659	0.87
10.6838	0.87
11.6692	0.87
12.6871	0.87
13.6725	0.87
14.6905	0.87
15.6758	0.87
16.6938	0.87
17.6791	0.87
18.6970	0.87
19.6824	0.87
20.7003	0.87
21.6857	0.87
22.7037	0.87
23.6890	0.87
24.7070	0.87
25.6923	0.87
26.7103	0.87
27.6956	0.86
28.7136	0.86
29.6989	0.86
30.7169	0.86
31.7021	0.86
32.7202	0.86
33.7054	0.86
34.7234	0.86
35.7086	0.86
36.7267	0.86
37.7119	0.86
38.7300	0.86
39.7151	0.86
40.7332	0.86
41.7184	0.86
42.7365	0.86
43.7216	0.86
44.7398	0.86
45.7249	0.86
46.7429	0.86
47.7281	0.86
48.7462	0.86
49.7313	0.85
50.7495	0.86
51.7346	0.86
52.7527	0.85
53.7378	0.85
54.7560	0.85
55.7411	0.85
56.7592	0.85
57.7443	0.85
58.7625	0.85
59.7475	0.85
60.7657	0.85
61.7507	0.85
62.7690	0.85
63.7539	0.85
