Velocity In Gate, Ch 1, Run #20
Time ( s )	Velocity In Gate ( m/s )
0.8236	0.83
1.8510	0.83
2.8278	0.83
3.8552	0.83
4.8320	0.83
5.8593	0.83
6.8361	0.83
7.8635	0.83
8.8402	0.82
9.8677	0.82
10.8444	0.82
11.8718	0.82
12.8485	0.82
13.8760	0.82
14.8527	0.82
15.8802	0.82
16.8568	0.82
17.8843	0.82
18.8609	0.82
19.8885	0.82
20.8650	0.82
21.8927	0.82
22.8691	0.82
23.8968	0.82
24.8732	0.82
25.9009	0.82
26.8773	0.81
27.9050	0.82
28.8814	0.82
29.9092	0.82
30.8856	0.81
31.9133	0.82
32.8897	0.81
33.9175	0.81
34.8938	0.81
35.9216	0.81
36.8980	0.81
37.9258	0.81
38.9021	0.81
39.9299	0.81
40.9061	0.81
41.9340	0.81
42.9102	0.81
43.9381	0.81
44.9143	0.81
45.9422	0.81
46.9184	0.81
47.9463	0.81
48.9224	0.81
49.9503	0.81
50.9264	0.81
51.9544	0.81
52.9305	0.81
53.9584	0.81
54.9345	0.80
55.9626	0.81
56.9385	0.80
57.9666	0.80
58.9425	0.80
59.9707	0.80
60.9466	0.80
