Velocity In Gate, Ch 1, Run #23
Time ( s )	Velocity In Gate ( m/s )
0.1827	0.85
1.1940	0.85
2.1890	0.85
3.2002	0.85
4.1953	0.85
5.2065	0.85
6.2015	0.85
7.2127	0.85
8.2078	0.85
9.2190	0.85
10.2141	0.85
11.2253	0.85
12.2204	0.85
13.2316	0.85
14.2266	0.84
15.2379	0.84
16.2328	0.84
17.2442	0.84
18.2390	0.84
19.2504	0.84
20.2453	0.84
21.2566	0.84
22.2516	0.84
23.2629	0.84
24.2579	0.84
25.2692	0.84
26.2641	0.84
27.2754	0.84
28.2704	0.84
29.2817	0.84
30.2767	0.84
31.2880	0.84
32.2829	0.84
33.2943	0.84
34.2892	0.84
35.3005	0.84
36.2954	0.84
37.3067	0.84
38.3016	0.84
39.3130	0.84
40.3079	0.84
41.3192	0.84
42.3141	0.83
43.3255	0.84
44.3204	0.84
45.3317	0.83
46.3266	0.83
47.3379	0.83
48.3328	0.83
49.3442	0.83
50.3390	0.83
51.3504	0.83
52.3453	0.83
53.3567	0.83
54.3515	0.83
55.3629	0.83
56.3577	0.83
57.3691	0.83
58.3639	0.83
59.3753	0.83
60.3700	0.83
