Velocity In Gate, Ch 1, Run #17
Time ( s )	Velocity In Gate ( m/s )
0.4036	0.72
1.3903	0.72
2.4109	0.72
3.3975	0.72
4.4183	0.72
5.4050	0.72
6.4256	0.72
7.4123	0.72
8.4329	0.72
9.4196	0.72
10.4403	0.72
11.4269	0.72
12.4476	0.72
13.4342	0.72
14.4550	0.72
15.4416	0.72
16.4624	0.72
17.4489	0.72
18.4697	0.72
19.4562	0.72
20.4770	0.72
21.4635	0.72
22.4843	0.72
23.4709	0.72
24.4917	0.72
25.4783	0.72
26.4990	0.72
27.4855	0.72
28.5063	0.71
29.4928	0.71
30.5136	0.71
31.5001	0.71
32.5210	0.71
33.5074	0.71
34.5284	0.71
35.5148	0.71
36.5356	0.71
37.5221	0.71
38.5430	0.71
39.5293	0.71
40.5502	0.71
41.5367	0.71
42.5575	0.71
43.5440	0.71
44.5649	0.71
45.5513	0.71
46.5722	0.71
47.5585	0.71
48.5794	0.71
49.5658	0.71
50.5867	0.71
51.5730	0.71
52.5940	0.71
53.5804	0.71
54.6013	0.71
55.5876	0.71
56.6086	0.71
57.5949	0.71
58.6159	0.71
59.6022	0.71
60.6232	0.71
61.6095	0.71
