Velocity In Gate, Ch 1, Run #21
Time ( s )	Velocity In Gate ( m/s )
0.7826	0.87
1.7669	0.87
2.7874	0.87
3.7718	0.87
4.7923	0.87
5.7767	0.87
6.7972	0.87
7.7815	0.87
8.8020	0.87
9.7863	0.87
10.8069	0.87
11.7911	0.87
12.8117	0.87
13.7960	0.87
14.8166	0.87
15.8009	0.87
16.8215	0.87
17.8058	0.86
18.8263	0.87
19.8106	0.86
20.8312	0.86
21.8154	0.86
22.8360	0.86
23.8202	0.86
24.8409	0.86
25.8250	0.86
26.8457	0.86
27.8299	0.86
28.8505	0.86
29.8347	0.86
30.8554	0.86
31.8396	0.86
32.8603	0.86
33.8444	0.86
34.8651	0.86
35.8492	0.86
36.8700	0.86
37.8540	0.86
38.8747	0.86
39.8588	0.86
40.8796	0.86
41.8637	0.85
42.8844	0.86
43.8684	0.85
44.8892	0.85
45.8732	0.85
46.8940	0.85
47.8781	0.85
48.8989	0.85
49.8829	0.85
50.9037	0.85
51.8876	0.85
52.9085	0.85
53.8925	0.85
54.9134	0.85
55.8973	0.85
56.9181	0.85
57.9021	0.85
58.9229	0.85
59.9069	0.85
60.9277	0.85
61.9116	0.85
