,City,Latitude,Longitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
80,qaanaaq,77.484,-69.3632,271.86,1.88,100.0,overcast clouds,79.0
81,baloda bazar,21.6667,82.1667,306.86,3.39,78.0,broken clouds,29.0
82,east london,-33.0153,27.9116,293.15,3.6,0.0,clear sky,83.0
83,richards bay,-28.783,32.0377,293.5,2.8,28.0,scattered clouds,86.0
84,dikson,73.5069,80.5464,272.13,6.73,76.0,broken clouds,92.0
85,siderno,38.2779,16.302,293.15,5.66,75.0,light rain,60.0
86,manokwari,-0.8667,134.0833,299.29,1.47,84.0,broken clouds,80.0
87,maarianhamina,60.0973,19.9348,278.15,2.06,90.0,light rain,93.0
88,port elizabeth,-33.918,25.5701,291.15,3.6,0.0,clear sky,88.0
89,marsa matruh,31.3525,27.2453,297.15,5.14,0.0,clear sky,73.0
90,saint-ambroise,48.5501,-71.3324,279.82,6.17,100.0,light rain,93.0
91,beni mazar,28.4962,30.8029,310.89,5.98,5.0,clear sky,10.0
92,coos bay,43.3665,-124.2179,286.48,3.09,90.0,overcast clouds,82.0
93,upernavik,72.7868,-56.1549,271.96,5.26,34.0,scattered clouds,85.0
94,paamiut,61.994,-49.6678,275.91,1.3,99.0,overcast clouds,65.0
95,yellowknife,62.456,-114.3525,279.15,4.63,20.0,few clouds,42.0
96,saskylakh,71.9167,114.0833,263.21,1.51,97.0,overcast clouds,99.0
97,severo-kurilsk,50.6789,156.125,274.66,4.85,92.0,overcast clouds,97.0
98,srisailam,16.0833,78.8667,300.81,3.57,23.0,few clouds,58.0
99,bambous virieux,-20.3428,57.7575,296.48,1.64,75.0,moderate rain,100.0
100,lompoc,34.6391,-120.4579,285.15,1.3,6.0,clear sky,87.0
101,haicheng,40.8516,122.7475,285.45,7.53,52.0,light rain,77.0
102,atuona,-9.8,-139.0333,299.94,10.4,36.0,scattered clouds,71.0
103,kasangulu,-4.5911,15.1708,304.15,1.54,20.0,light rain,62.0
104,waw,7.7029,27.9953,300.55,3.13,72.0,moderate rain,64.0
105,surt,31.2089,16.5887,296.0,8.92,70.0,broken clouds,60.0
106,busselton,-33.65,115.3333,284.82,3.18,1.0,clear sky,97.0
107,fare,-16.7,-151.0167,300.59,5.07,16.0,few clouds,73.0
108,san jeronimo,-11.9472,-75.2829,287.59,1.14,83.0,broken clouds,56.0
109,blairmore,49.6,-114.4353,284.15,0.51,100.0,overcast clouds,50.0
110,caravelas,-17.7125,-39.2481,301.44,3.0,16.0,few clouds,61.0
111,rusape,-18.5278,32.1284,286.91,2.9,0.0,clear sky,56.0
112,denizli,37.8402,29.0698,296.15,4.63,40.0,scattered clouds,31.0
113,thompson,55.7435,-97.8558,273.15,7.2,90.0,light snow,74.0
114,basoko,1.2391,23.616,294.65,1.07,100.0,heavy intensity rain,98.0
115,hirara,24.8,125.2833,298.2,5.82,18.0,few clouds,92.0
116,touros,-5.1989,-35.4608,300.15,4.12,40.0,scattered clouds,78.0
117,guerrero negro,27.9769,-114.0611,292.21,2.48,0.0,clear sky,64.0
118,mizdah,31.4451,12.9801,305.38,9.47,99.0,overcast clouds,16.0
119,pangnirtung,66.1451,-65.7125,276.15,2.06,75.0,broken clouds,81.0
120,quatre cocos,-20.2078,57.7625,296.48,1.17,75.0,moderate rain,100.0
121,along,28.1667,94.7667,292.76,0.88,78.0,broken clouds,92.0
122,poum,-20.2333,164.0167,298.15,4.87,66.0,broken clouds,80.0
123,sitka,57.0531,-135.33,286.15,6.17,90.0,overcast clouds,50.0
