Velocity In Gate, Ch 1, Run #10
Time ( s )	Velocity In Gate ( m/s )
0.5270	0.72
1.4675	0.72
2.4559	0.72
3.3963	0.72
4.3848	0.72
5.3252	0.72
6.3137	0.72
7.2540	0.72
8.2426	0.72
9.1829	0.72
10.1715	0.72
11.1118	0.72
12.1003	0.72
13.0406	0.72
14.0293	0.72
14.9695	0.72
15.9580	0.72
16.8983	0.72
17.8869	0.72
18.8272	0.72
19.8158	0.72
20.7560	0.72
21.7446	0.72
22.6848	0.72
23.6735	0.72
24.6137	0.72
25.6024	0.72
26.5426	0.72
27.5312	0.72
28.4714	0.72
29.4601	0.72
30.4002	0.72
31.3890	0.72
32.3290	0.72
33.3178	0.71
34.2579	0.71
35.2466	0.71
36.1867	0.71
37.1754	0.71
38.1155	0.71
39.1043	0.71
40.0443	0.71
41.0331	0.71
41.9732	0.71
42.9620	0.71
43.9020	0.71
44.8908	0.71
45.8308	0.71
46.8196	0.71
47.7597	0.71
48.7485	0.71
49.6884	0.71
50.6774	0.71
51.6173	0.71
52.6062	0.71
53.5461	0.71
54.5350	0.71
55.4749	0.71
56.4638	0.71
57.4037	0.71
58.3927	0.71
59.3325	0.71
