Velocity In Gate, Ch 1, Run #9
Time ( s )	Velocity In Gate ( m/s )
0.0748	0.98
0.9928	0.99
1.9285	0.98
2.8464	0.98
3.7823	0.98
4.7000	0.98
5.6360	0.98
6.5538	0.98
7.4896	0.98
8.4075	0.98
9.3433	0.98
10.2611	0.98
11.1970	0.98
12.1147	0.98
13.0506	0.98
13.9684	0.98
14.9043	0.97
15.8221	0.97
16.7580	0.97
17.6757	0.97
18.6116	0.97
19.5294	0.97
20.4653	0.97
21.3830	0.97
22.3190	0.97
23.2367	0.97
24.1726	0.97
25.0903	0.97
26.0262	0.97
26.9439	0.97
27.8799	0.97
28.7976	0.97
29.7335	0.96
30.6512	0.96
31.5872	0.96
32.5049	0.96
33.4408	0.96
34.3585	0.96
35.2945	0.96
36.2119	0.96
37.1481	0.96
38.0656	0.96
39.0016	0.96
39.9191	0.96
40.8552	0.96
41.7727	0.96
42.7089	0.95
43.6263	0.95
44.5624	0.95
45.4798	0.95
46.4159	0.95
47.3333	0.95
48.2695	0.95
49.1869	0.95
50.1230	0.95
51.0405	0.95
51.9766	0.95
52.8941	0.95
53.8302	0.95
54.7476	0.95
55.6838	0.95
56.6012	0.95
57.5374	0.95
58.4548	0.95
59.3909	0.95
60.3084	0.94
