Velocity In Gate, Ch 1, Run #17
Time ( s )	Velocity In Gate ( m/s )
0.2018	0.80
1.1540	0.80
2.1266	0.80
3.0787	0.80
4.0514	0.80
5.0036	0.79
5.9763	0.79
6.9284	0.79
7.9012	0.79
8.8533	0.79
9.8260	0.79
10.7782	0.79
11.7508	0.79
12.7030	0.79
13.6757	0.79
14.6278	0.79
15.6005	0.79
16.5526	0.79
17.5254	0.79
18.4775	0.79
19.4503	0.79
20.4023	0.79
21.3751	0.79
22.3271	0.79
23.3000	0.79
24.2519	0.79
25.2248	0.79
26.1768	0.79
27.1497	0.78
28.1016	0.78
29.0744	0.78
30.0264	0.78
30.9992	0.78
31.9512	0.78
32.9241	0.78
33.8760	0.78
34.8489	0.78
35.8008	0.78
36.7738	0.78
37.7257	0.78
38.6986	0.78
39.6504	0.78
40.6235	0.78
41.5753	0.78
42.5482	0.78
43.5001	0.78
44.4730	0.78
45.4249	0.78
46.3978	0.78
47.3498	0.78
48.3227	0.78
49.2746	0.78
50.2476	0.78
51.1993	0.78
52.1723	0.77
53.1242	0.77
54.0971	0.77
55.0489	0.77
56.0219	0.77
56.9737	0.77
57.9467	0.77
58.8985	0.77
59.8715	0.77
60.8233	0.77
61.7963	0.77
62.7481	0.77
63.7211	0.77
64.6729	0.77
65.6459	0.77
66.5976	0.77
67.5706	0.77
68.5225	0.77
69.4955	0.77
70.4472	0.77
71.4203	0.77
72.3720	0.77
73.3450	0.77
74.2968	0.77
75.2698	0.76
76.2215	0.76
77.1946	0.76
