Velocity In Gate, Ch 1, Run #6
Time ( s )	Velocity In Gate ( m/s )
1.8859	0.65
2.8262	0.65
3.8304	0.65
4.7712	0.65
5.7752	0.65
6.7157	0.65
7.7200	0.65
8.6606	0.65
9.6646	0.65
10.6052	0.65
11.6095	0.65
12.5500	0.65
13.5542	0.65
14.4948	0.65
15.4991	0.65
16.4394	0.65
17.4438	0.65
18.3843	0.65
19.3885	0.65
20.3289	0.65
21.3333	0.65
22.2737	0.64
23.2780	0.64
24.2185	0.64
25.2229	0.64
26.1632	0.64
27.1675	0.64
28.1079	0.64
29.1124	0.64
30.0526	0.64
31.0570	0.64
31.9974	0.64
33.0018	0.64
33.9421	0.64
34.9466	0.64
35.8868	0.64
36.8912	0.64
37.8315	0.64
38.8360	0.64
39.7761	0.64
40.7807	0.64
41.7208	0.64
42.7254	0.64
43.6655	0.64
44.6701	0.64
45.6102	0.64
46.6149	0.64
47.5549	0.64
48.5595	0.64
49.4995	0.64
50.5042	0.64
51.4443	0.64
52.4489	0.64
53.3890	0.64
54.3936	0.64
55.3337	0.64
56.3384	0.64
57.2784	0.64
58.2831	0.64
59.2230	0.64
60.2278	0.64
61.1677	0.64
62.1725	0.64
