Velocity In Gate, Ch 1, Run #8
Time ( s )	Velocity In Gate ( m/s )
0.3476	0.83
1.3343	0.83
2.2827	0.83
3.2696	0.83
4.2179	0.83
5.2048	0.83
6.1532	0.83
7.1400	0.83
8.0883	0.83
9.0753	0.83
10.0236	0.83
11.0105	0.83
11.9588	0.83
12.9458	0.83
13.8941	0.83
14.8810	0.83
15.8292	0.83
16.8162	0.83
17.7645	0.83
18.7515	0.83
19.6997	0.83
20.6867	0.83
21.6348	0.83
22.6218	0.83
23.5700	0.83
24.5570	0.83
25.5052	0.83
26.4923	0.83
27.4405	0.83
28.4275	0.83
29.3757	0.83
30.3627	0.82
31.3108	0.82
32.2980	0.82
33.2460	0.82
34.2331	0.82
35.1812	0.82
36.1684	0.82
37.1164	0.82
38.1035	0.82
39.0515	0.82
40.0387	0.82
40.9867	0.82
41.9739	0.82
42.9219	0.82
43.9090	0.82
44.8571	0.82
45.8442	0.82
46.7922	0.82
47.7794	0.82
48.7274	0.82
49.7146	0.82
50.6625	0.82
51.6497	0.82
52.5977	0.82
53.5848	0.82
54.5328	0.82
55.5200	0.82
56.4679	0.82
57.4551	0.82
58.4031	0.81
59.3903	0.81
60.3382	0.81
