Velocity In Gate, Ch 1, Run #1
Time ( s )	Velocity In Gate ( m/s )
0.8276	0.68
1.8075	0.68
2.7544	0.68
3.7344	0.68
4.6814	0.68
5.6614	0.68
6.6083	0.68
7.5883	0.68
8.5351	0.68
9.5152	0.68
10.4620	0.68
11.4421	0.68
12.3890	0.68
13.3691	0.68
14.3159	0.68
15.2961	0.68
16.2428	0.68
17.2230	0.68
18.1697	0.68
19.1499	0.68
20.0966	0.68
21.0768	0.67
22.0235	0.67
23.0037	0.67
23.9504	0.67
24.9306	0.67
25.8772	0.67
26.8574	0.67
27.8041	0.67
28.7844	0.67
29.7310	0.67
30.7112	0.67
31.6578	0.67
32.6381	0.67
33.5846	0.67
34.5649	0.67
35.5114	0.67
36.4917	0.67
37.4382	0.67
38.4186	0.67
39.3651	0.67
40.3454	0.67
41.2919	0.67
42.2723	0.67
43.2188	0.67
44.1992	0.67
45.1455	0.66
46.1260	0.66
47.0723	0.66
48.0528	0.66
48.9992	0.66
49.9796	0.66
50.9260	0.66
51.9065	0.66
52.8528	0.66
53.8334	0.66
54.7797	0.66
55.7602	0.66
56.7065	0.66
57.6872	0.66
58.6333	0.66
59.6140	0.66
60.5601	0.66
61.5408	0.66
62.4870	0.66
63.4676	0.66
64.4138	0.66
65.3945	0.66
66.3406	0.66
67.3214	0.65
68.2675	0.65
69.2483	0.65
