Velocity In Gate, Ch 1, Run #7
Time ( s )	Velocity In Gate ( m/s )
0.9566	1.13
1.8745	1.13
2.8128	1.13
3.7306	1.13
4.6691	1.13
5.5868	1.12
6.5253	1.13
7.4430	1.12
8.3815	1.12
9.2993	1.12
10.2378	1.12
11.1555	1.12
12.0940	1.12
13.0116	1.12
13.9502	1.12
14.8678	1.12
15.8063	1.11
16.7240	1.11
17.6625	1.12
18.5801	1.11
19.5187	1.11
20.4362	1.11
21.3747	1.11
22.2923	1.11
23.2309	1.11
24.1485	1.11
25.0870	1.11
26.0046	1.11
26.9432	1.10
27.8606	1.10
28.7993	1.10
29.7168	1.10
30.6554	1.10
31.5729	1.10
32.5115	1.10
33.4291	1.10
34.3676	1.10
35.2851	1.10
36.2238	1.10
37.1412	1.10
38.0798	1.09
38.9973	1.09
39.9360	1.09
40.8534	1.09
41.7921	1.09
42.7095	1.09
43.6481	1.09
44.5655	1.09
45.5042	1.09
46.4215	1.09
47.3602	1.08
48.2776	1.08
49.2163	1.08
50.1335	1.08
51.0723	1.08
51.9895	1.08
52.9283	1.08
53.8456	1.08
54.7843	1.08
55.7015	1.08
56.6404	1.08
57.5576	1.08
58.4964	1.08
59.4136	1.08
60.3524	1.07
61.2695	1.08
62.2084	1.07
63.1255	1.07
64.0643	1.07
64.9814	1.07
65.9204	1.07
66.8374	1.07
