Velocity In Gate, Ch 1, Run #18
Time ( s )	Velocity In Gate ( m/s )
0.5049	0.78
1.4661	0.78
2.4577	0.78
3.4186	0.78
4.4103	0.78
5.3713	0.78
6.3631	0.78
7.3241	0.78
8.3159	0.77
9.2768	0.77
10.2685	0.77
11.2295	0.77
12.2213	0.77
13.1822	0.77
14.1740	0.77
15.1349	0.77
16.1266	0.77
17.0875	0.77
18.0793	0.77
19.0402	0.77
20.0320	0.77
20.9929	0.77
21.9847	0.77
22.9455	0.77
23.9374	0.77
24.8982	0.77
25.8901	0.77
26.8509	0.77
27.8427	0.77
28.8035	0.77
29.7954	0.77
30.7562	0.77
31.7481	0.77
32.7089	0.77
33.7008	0.77
34.6616	0.77
35.6535	0.77
36.6142	0.77
37.6061	0.77
38.5670	0.77
39.5589	0.76
40.5196	0.76
41.5115	0.76
42.4723	0.76
43.4642	0.76
44.4249	0.76
45.4169	0.76
46.3776	0.76
47.3696	0.76
48.3303	0.76
49.3222	0.76
50.2829	0.76
51.2750	0.76
52.2355	0.76
53.2276	0.76
54.1882	0.76
55.1802	0.76
56.1409	0.76
57.1329	0.76
58.0936	0.76
59.0856	0.76
60.0462	0.76
61.0382	0.76
61.9988	0.76
62.9909	0.76
63.9515	0.76
64.9436	0.76
