Velocity In Gate, Ch 1, Run #4
Time ( s )	Velocity In Gate ( m/s )
0.5903	0.92
1.5895	0.92
2.5498	0.92
3.5491	0.92
4.5093	0.92
5.5086	0.92
6.4688	0.92
7.4680	0.92
8.4284	0.92
9.4275	0.92
10.3879	0.92
11.3871	0.92
12.3473	0.92
13.3467	0.91
14.3069	0.92
15.3062	0.91
16.2664	0.92
17.2657	0.91
18.2259	0.92
19.2252	0.91
20.1853	0.91
21.1847	0.91
22.1448	0.91
23.1442	0.91
24.1043	0.91
25.1037	0.91
26.0638	0.91
27.0632	0.91
28.0233	0.91
29.0227	0.91
29.9828	0.91
30.9823	0.91
31.9423	0.91
32.9417	0.91
33.9017	0.91
34.9012	0.91
35.8611	0.91
36.8606	0.90
37.8206	0.91
38.8201	0.90
39.7801	0.91
40.7796	0.90
41.7395	0.91
42.7390	0.90
43.6989	0.90
44.6984	0.90
45.6583	0.90
46.6579	0.90
47.6178	0.90
48.6174	0.90
49.5772	0.90
50.5769	0.90
51.5366	0.90
52.5363	0.90
53.4960	0.90
54.4958	0.90
55.4555	0.90
56.4552	0.90
57.4149	0.90
58.4146	0.90
59.3743	0.90
60.3740	0.89
61.3337	0.90
62.3334	0.89
63.2931	0.90
64.2929	0.89
