Time	Velocity
1.0087	0.33
2.0112	0.33
3.0015	0.33
4.0041	0.33
4.9943	0.33
5.9970	0.33
6.9872	0.33
7.9900	0.33
8.9802	0.33
9.9828	0.33
10.9731	0.33
11.9758	0.33
12.9660	0.33
13.9688	0.33
14.9588	0.33
15.9616	0.33
16.9518	0.33
17.9545	0.33
18.9447	0.33
19.9474	0.33
20.9376	0.33
21.9403	0.33
22.9305	0.33
23.9332	0.33
24.9235	0.33
25.9261	0.33
26.9163	0.33
27.9190	0.32
28.9092	0.32
29.9120	0.32
30.9021	0.32
31.9048	0.32
32.8950	0.32
33.8978	0.32
34.8880	0.32
35.8907	0.32
36.8808	0.32
37.8836	0.32
38.8737	0.32
39.8765	0.32
40.8666	0.32
41.8694	0.32
42.8596	0.32
43.8624	0.32
44.8526	0.32
45.8553	0.32
46.8454	0.32
47.8482	0.32
48.8383	0.32
49.8410	0.32
50.8312	0.32
51.8339	0.32
52.8242	0.32
53.8269	0.32
54.8170	0.32
55.8198	0.32
56.8100	0.32
57.8127	0.32
58.8028	0.32
59.8055	0.32
60.7956	0.32
61.7983	0.32
62.7884	0.32
63.7912	0.32
64.7813	0.32
65.7841	0.32
66.7741	0.32
67.7769	0.32
68.7670	0.32
69.7699	0.32
70.7600	0.32
71.7627	0.32
72.7528	0.32
73.7556	0.32
74.7457	0.32
75.7486	0.32
76.7386	0.32
77.7415	0.32
78.7315	0.32
79.7344	0.32
80.7244	0.32
81.7272	0.32
82.7172	0.32
83.7200	0.32
84.7100	0.32
85.7128	0.32
86.7030	0.32
87.7058	0.32
88.6959	0.32
89.6987	0.32
90.6888	0.32
