"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1"
284.112,0.00,,,,0.10,0.20
287.351,1.00,287.35,,3.44,,
287.549,0.00,,,,0.10,0.20
291.147,1.00,291.15,7.23,3.80,,
291.343,0.00,,,,0.10,0.20
294.585,1.00,294.58,,3.44,,
294.783,0.00,,,,0.10,0.20
298.380,1.00,298.38,7.23,3.80,,
298.578,0.00,,,,0.10,0.20
301.818,1.00,301.82,,3.44,,
302.017,0.00,,,,0.10,0.20
305.616,1.00,305.62,7.24,3.80,,
305.814,0.00,,,,0.10,0.20
309.049,1.00,309.05,,3.43,,
309.249,0.00,,,,0.10,0.20
312.849,1.00,312.85,7.23,3.80,,
313.047,0.00,,,,0.10,0.20
316.284,1.00,316.28,,3.44,,
316.484,0.00,,,,0.10,0.20
320.082,1.00,320.08,7.23,3.80,,
320.281,0.00,,,,0.10,0.20
323.517,1.00,323.52,,3.44,,
323.718,0.00,,,,0.10,0.20
327.315,1.00,327.32,7.23,3.80,,
327.515,0.00,,,,0.10,0.20
330.749,1.00,330.75,,3.43,,
330.951,0.00,,,,0.10,0.20
334.550,1.00,334.55,7.23,3.80,,
334.751,0.00,,,,0.10,0.20
337.982,1.00,337.98,,3.43,,
338.185,0.00,,,,0.10,0.20
341.783,1.00,341.78,7.23,3.80,,
341.984,0.00,,,,0.10,0.20
345.216,1.00,345.22,,3.43,,
345.419,0.00,,,,0.10,0.20
349.016,1.00,349.02,7.23,3.80,,
349.219,0.00,,,,0.10,0.20
352.448,1.00,352.45,,3.43,,
352.652,0.00,,,,0.10,0.20
356.251,1.00,356.25,7.23,3.80,,
356.454,0.00,,,,0.10,0.20
359.680,1.00,359.68,,3.43,,
359.885,0.00,,,,0.10,0.21
363.484,1.00,363.48,7.23,3.80,,
363.687,0.00,,,,0.10,0.20
366.914,1.00,366.91,,3.43,,
367.120,0.00,,,,0.10,0.21
370.717,1.00,370.72,7.23,3.80,,
370.921,0.00,,,,0.10,0.20
374.148,1.00,374.15,,3.43,,
374.354,0.00,,,,0.10,0.21
377.952,1.00,377.95,7.23,3.80,,
378.157,0.00,,,,0.10,0.21
381.379,1.00,381.38,,3.43,,
381.587,0.00,,,,0.10,0.21
385.185,1.00,385.19,7.23,3.81,,
385.392,0.00,,,,0.10,0.21
388.614,1.00,388.61,,3.43,,
388.822,0.00,,,,0.10,0.21
392.418,1.00,392.42,7.23,3.80,,
392.625,0.00,,,,0.10,0.21
395.848,1.00,395.85,,3.43,,
396.056,0.00,,,,0.10,0.21
399.652,1.00,399.65,7.23,3.80,,
399.859,0.00,,,,0.10,0.21
403.079,1.00,403.08,,3.43,,
403.288,0.00,,,,0.10,0.21
406.886,1.00,406.89,7.23,3.81,,
407.095,0.00,,,,0.10,0.21
410.312,1.00,410.31,,3.43,,
410.522,0.00,,,,0.10,0.21
414.119,1.00,414.12,7.23,3.81,,
414.328,0.00,,,,0.10,0.21
417.545,1.00,417.54,,3.43,,
417.756,0.00,,,,0.09,0.21
421.351,1.00,421.35,7.23,3.81,,
421.561,0.00,,,,0.10,0.21
424.777,1.00,424.78,,3.43,,
424.989,0.00,,,,0.09,0.21
428.585,1.00,428.59,7.23,3.81,,
428.796,0.00,,,,0.09,0.21
432.009,1.00,432.01,,3.42,,
432.221,0.00,,,,0.09,0.21
435.818,1.00,435.82,7.23,3.81,,
436.029,0.00,,,,0.09,0.21
439.243,1.00,439.24,,3.42,,
439.455,0.00,,,,0.09,0.21
443.051,1.00,443.05,7.23,3.81,,
443.263,0.00,,,,0.09,0.21
446.476,1.00,446.48,,3.43,,
446.689,0.00,,,,0.09,0.21
450.285,1.00,450.28,7.23,3.81,,
450.497,0.00,,,,0.09,0.21
453.707,1.00,453.71,,3.42,,
453.921,0.00,,,,0.09,0.21
457.519,1.00,457.52,7.23,3.81,,
