"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 10:01:10 am,1.415,1.00,,
09/26/2022 10:01:10 am,1.455,0.00,0.04,1.23
09/26/2022 10:01:14 am,5.058,1.00,,
09/26/2022 10:01:14 am,5.091,0.00,0.03,1.50
09/26/2022 10:01:17 am,8.690,1.00,,
09/26/2022 10:01:17 am,8.719,0.00,0.03,1.72
09/26/2022 10:01:21 am,12.311,1.00,,
09/26/2022 10:01:21 am,12.342,0.00,0.03,1.62
09/26/2022 10:01:24 am,15.923,1.00,,
09/26/2022 10:01:24 am,15.962,0.00,0.04,1.28
09/26/2022 10:01:28 am,19.570,1.00,,
09/26/2022 10:01:28 am,19.612,0.00,0.04,1.21
09/26/2022 10:01:32 am,23.161,1.00,,
09/26/2022 10:01:32 am,23.191,0.00,0.03,1.63
09/26/2022 10:01:35 am,26.814,1.00,,
09/26/2022 10:01:35 am,26.850,0.00,0.04,1.42
09/26/2022 10:01:39 am,30.415,1.00,,
09/26/2022 10:01:39 am,30.453,0.00,0.04,1.32
09/26/2022 10:01:43 am,34.059,1.00,,
09/26/2022 10:01:43 am,34.094,0.00,0.04,1.40
09/26/2022 10:01:46 am,37.654,1.00,,
09/26/2022 10:01:46 am,37.684,0.00,0.03,1.63
09/26/2022 10:01:50 am,41.313,1.00,,
09/26/2022 10:01:50 am,41.354,0.00,0.04,1.22
09/26/2022 10:01:53 am,44.904,1.00,,
09/26/2022 10:01:53 am,44.945,0.00,0.04,1.24
09/26/2022 10:01:57 am,48.540,1.00,,
09/26/2022 10:01:57 am,48.574,0.00,0.03,1.51
09/26/2022 10:02:01 am,52.172,1.00,,
09/26/2022 10:02:01 am,52.205,0.00,0.03,1.54
09/26/2022 10:02:04 am,55.784,1.00,,
09/26/2022 10:02:04 am,55.820,0.00,0.04,1.42
09/26/2022 10:02:08 am,59.396,1.00,,
09/26/2022 10:02:08 am,59.438,0.00,0.04,1.18
09/26/2022 10:02:12 am,63.055,1.00,,
09/26/2022 10:02:12 am,63.094,0.00,0.04,1.27
09/26/2022 10:02:15 am,66.645,1.00,,
09/26/2022 10:02:15 am,66.676,0.00,0.03,1.59
09/26/2022 10:02:19 am,70.291,1.00,,
09/26/2022 10:02:19 am,70.328,0.00,0.04,1.35
