"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
,,,,,,,276.961,1.00,276.96,,4.41,,
,,,,,,,276.985,0.00,,,,2.07,0.02
,,,,,,,277.009,1.00,277.01,4.46,0.05,,
,,,,,,,277.038,0.00,,,,1.75,0.03
,,,,,,,278.645,1.00,278.64,,1.64,,
,,,,,,,278.674,0.00,,,,1.70,0.03
,,,,,,,278.706,1.00,278.71,1.70,0.06,,
,,,,,,,278.730,0.00,,,,2.08,0.02
,,,,,,,283.129,1.00,283.13,,4.42,,
,,,,,,,283.154,0.00,,,,1.97,0.03
,,,,,,,283.185,1.00,283.19,4.48,0.06,,
,,,,,,,283.215,0.00,,,,1.69,0.03
,,,,,,,284.796,1.00,284.80,,1.61,,
,,,,,,,284.827,0.00,,,,1.66,0.03
,,,,,,,284.860,1.00,284.86,1.67,0.06,,
,,,,,,,284.884,0.00,,,,2.04,0.02
,,,,,,,289.302,1.00,289.30,,4.44,,
,,,,,,,289.326,0.00,,,,2.07,0.02
,,,,,,,289.346,1.00,289.35,4.49,0.04,,
,,,,,,,289.374,0.00,,,,1.79,0.03
,,,,,,,290.963,1.00,290.96,,1.62,,
,,,,,,,290.990,0.00,,,,1.85,0.03
,,,,,,,291.007,1.00,291.01,1.66,0.04,,
,,,,,,,291.031,0.00,,,,2.10,0.02
,,,,,,,295.472,1.00,295.47,,4.47,,
,,,,,,,295.497,0.00,,,,2.07,0.02
,,,,,,,295.513,1.00,295.51,4.51,0.04,,
,,,,,,,295.540,0.00,,,,1.82,0.03
,,,,,,,297.109,1.00,297.11,,1.60,,
,,,,,,,297.138,0.00,,,,1.73,0.03
,,,,,,,297.160,1.00,297.16,1.65,0.05,,
,,,,,,,297.185,0.00,,,,2.02,0.02
,,,,,,,301.641,1.00,301.64,,4.48,,
,,,,,,,301.667,0.00,,,,1.88,0.03
,,,,,,,301.698,1.00,301.70,4.54,0.06,,
,,,,,,,301.730,0.00,,,,1.58,0.03
,,,,,,,303.247,1.00,303.25,,1.55,,
,,,,,,,303.279,0.00,,,,1.56,0.03
,,,,,,,303.316,1.00,303.32,1.62,0.07,,
,,,,,,,303.342,0.00,,,,1.92,0.03
,,,,,,,307.811,1.00,307.81,,4.50,,
,,,,,,,307.838,0.00,,,,1.85,0.03
,,,,,,,307.868,1.00,307.87,4.55,0.06,,
,,,,,,,307.900,0.00,,,,1.56,0.03
,,,,,,,309.403,1.00,309.40,,1.54,,
,,,,,,,309.435,0.00,,,,1.57,0.03
,,,,,,,309.465,1.00,309.47,1.60,0.06,,
,,,,,,,309.491,0.00,,,,1.92,0.03
,,,,,,,313.988,1.00,313.99,,4.52,,
,,,,,,,314.013,0.00,,,,1.96,0.03
,,,,,,,314.029,1.00,314.03,4.56,0.04,,
,,,,,,,314.058,0.00,,,,1.72,0.03
,,,,,,,315.567,1.00,315.57,,1.54,,
,,,,,,,315.596,0.00,,,,1.72,0.03
,,,,,,,315.613,1.00,315.61,1.58,0.05,,
,,,,,,,315.638,0.00,,,,1.95,0.03
,,,,,,,320.155,1.00,320.15,,4.54,,
,,,,,,,320.182,0.00,,,,1.85,0.03
,,,,,,,320.207,1.00,320.21,4.59,0.05,,
,,,,,,,320.239,0.00,,,,1.55,0.03
,,,,,,,321.704,1.00,321.70,,1.50,,
,,,,,,,321.737,0.00,,,,1.49,0.03
,,,,,,,321.770,1.00,321.77,1.56,0.07,,
,,,,,,,321.797,0.00,,,,1.84,0.03
,,,,,,,326.323,1.00,326.32,,4.55,,
,,,,,,,326.352,0.00,,,,1.73,0.03
,,,,,,,326.387,1.00,326.39,4.62,0.06,,
,,,,,,,326.422,0.00,,,,1.45,0.03
,,,,,,,327.850,1.00,327.85,,1.46,,
,,,,,,,327.885,0.00,,,,1.42,0.04
,,,,,,,327.924,1.00,327.92,1.54,0.07,,
,,,,,,,327.952,0.00,,,,1.79,0.03
,,,,,,,332.496,1.00,332.50,,4.57,,
,,,,,,,332.524,0.00,,,,1.78,0.03
,,,,,,,332.550,1.00,332.55,4.63,0.05,,
,,,,,,,332.584,0.00,,,,1.49,0.03
,,,,,,,334.015,1.00,334.01,,1.46,,
,,,,,,,334.047,0.00,,,,1.53,0.03
,,,,,,,334.072,1.00,334.07,1.52,0.06,,
,,,,,,,334.099,0.00,,,,1.82,0.03
,,,,,,,338.668,1.00,338.67,,4.60,,
,,,,,,,338.696,0.00,,,,1.81,0.03
,,,,,,,338.714,1.00,338.71,4.64,0.05,,
,,,,,,,338.746,0.00,,,,1.57,0.03
,,,,,,,340.166,1.00,340.17,,1.45,,
,,,,,,,340.199,0.00,,,,1.52,0.03
,,,,,,,340.223,1.00,340.22,1.51,0.06,,
,,,,,,,340.251,0.00,,,,1.78,0.03
,,,,,,,344.833,1.00,344.83,,4.61,,
,,,,,,,344.863,0.00,,,,1.66,0.03
,,,,,,,344.897,1.00,344.90,4.67,0.06,,
,,,,,,,344.934,0.00,,,,1.36,0.04
,,,,,,,346.299,1.00,346.30,,1.40,,
,,,,,,,346.336,0.00,,,,1.34,0.04
,,,,,,,346.377,1.00,346.38,1.48,0.08,,
,,,,,,,346.407,0.00,,,,1.68,0.03
,,,,,,,351.003,1.00,351.00,,4.63,,
,,,,,,,351.035,0.00,,,,1.61,0.03
,,,,,,,351.071,1.00,351.07,4.69,0.07,,
,,,,,,,351.108,0.00,,,,1.32,0.04
,,,,,,,352.449,1.00,352.45,,1.38,,
,,,,,,,352.487,0.00,,,,1.32,0.04
,,,,,,,352.525,1.00,352.52,1.45,0.08,,
,,,,,,,352.555,0.00,,,,1.66,0.03
,,,,,,,357.180,1.00,357.18,,4.66,,
,,,,,,,357.210,0.00,,,,1.68,0.03
,,,,,,,357.232,1.00,357.23,4.71,0.05,,
,,,,,,,357.266,0.00,,,,1.44,0.03
,,,,,,,358.614,1.00,358.61,,1.38,,
,,,,,,,358.648,0.00,,,,1.45,0.03
,,,,,,,358.670,1.00,358.67,1.44,0.06,,
,,,,,,,358.700,0.00,,,,1.68,0.03
,,,,,,,363.349,1.00,363.35,,4.68,,
,,,,,,,363.379,0.00,,,,1.62,0.03
,,,,,,,363.407,1.00,363.41,4.74,0.06,,
,,,,,,,363.444,0.00,,,,1.33,0.04
,,,,,,,364.749,1.00,364.75,,1.34,,
,,,,,,,364.788,0.00,,,,1.29,0.04
,,,,,,,364.823,1.00,364.82,1.42,0.07,,
,,,,,,,364.854,0.00,,,,1.60,0.03
,,,,,,,369.516,1.00,369.52,,4.69,,
,,,,,,,369.550,0.00,,,,1.51,0.03
,,,,,,,369.590,1.00,369.59,4.77,0.07,,
,,,,,,,369.631,0.00,,,,1.22,0.04
,,,,,,,370.887,1.00,370.89,,1.30,,
,,,,,,,370.928,0.00,,,,1.20,0.04
,,,,,,,370.974,1.00,370.97,1.38,0.09,,
,,,,,,,371.006,0.00,,,,1.55,0.03
,,,,,,,375.692,1.00,375.69,,4.72,,
,,,,,,,375.725,0.00,,,,1.51,0.03
,,,,,,,375.759,1.00,375.76,4.78,0.07,,
,,,,,,,375.800,0.00,,,,1.23,0.04
,,,,,,,377.047,1.00,377.05,,1.29,,
,,,,,,,377.087,0.00,,,,1.25,0.04
,,,,,,,377.120,1.00,377.12,1.36,0.07,,
,,,,,,,377.153,0.00,,,,1.55,0.03
,,,,,,,381.866,1.00,381.87,,4.75,,
,,,,,,,381.898,0.00,,,,1.54,0.03
,,,,,,,381.921,1.00,381.92,4.80,0.06,,
,,,,,,,381.960,0.00,,,,1.30,0.04
,,,,,,,383.202,1.00,383.20,,1.28,,
,,,,,,,383.240,0.00,,,,1.29,0.04
,,,,,,,383.268,1.00,383.27,1.35,0.07,,
,,,,,,,383.301,0.00,,,,1.53,0.03
,,,,,,,388.034,1.00,388.03,,4.77,,
,,,,,,,388.069,0.00,,,,1.42,0.04
,,,,,,,388.107,1.00,388.11,4.84,0.07,,
,,,,,,,388.152,0.00,,,,1.13,0.04
,,,,,,,389.329,1.00,389.33,,1.22,,
,,,,,,,389.373,0.00,,,,1.12,0.04
,,,,,,,389.419,1.00,389.42,1.31,0.09,,
,,,,,,,389.454,0.00,,,,1.45,0.03
,,,,,,,394.204,1.00,394.20,,4.78,,
,,,,,,,394.240,0.00,,,,1.37,0.04
,,,,,,,394.284,1.00,394.28,4.87,0.08,,
,,,,,,,394.331,0.00,,,,1.08,0.05
,,,,,,,395.476,1.00,395.48,,1.19,,
,,,,,,,395.522,0.00,,,,1.08,0.05
,,,,,,,395.569,1.00,395.57,1.28,0.09,,
,,,,,,,395.604,0.00,,,,1.42,0.04
,,,,,,,400.381,1.00,400.38,,4.81,,
,,,,,,,400.416,0.00,,,,1.40,0.04
,,,,,,,400.446,1.00,400.45,4.88,0.07,,
,,,,,,,400.490,0.00,,,,1.14,0.04
,,,,,,,401.637,1.00,401.64,,1.19,,
,,,,,,,401.680,0.00,,,,1.16,0.04
,,,,,,,401.710,1.00,401.71,1.26,0.07,,
,,,,,,,401.745,0.00,,,,1.42,0.04
,,,,,,,406.554,1.00,406.55,,4.84,,
,,,,,,,406.590,0.00,,,,1.37,0.04
,,,,,,,406.622,1.00,406.62,4.91,0.07,,
,,,,,,,406.668,0.00,,,,1.09,0.05
,,,,,,,407.774,1.00,407.77,,1.15,,
,,,,,,,407.821,0.00,,,,1.07,0.05
,,,,,,,407.860,1.00,407.86,1.24,0.09,,
,,,,,,,407.897,0.00,,,,1.36,0.04
,,,,,,,412.722,1.00,412.72,,4.86,,
,,,,,,,412.762,0.00,,,,1.27,0.04
,,,,,,,412.810,1.00,412.81,4.95,0.09,,
,,,,,,,412.862,0.00,,,,0.97,0.05
,,,,,,,413.905,1.00,413.90,,1.09,,
,,,,,,,413.956,0.00,,,,0.97,0.05
,,,,,,,414.010,1.00,414.01,1.20,0.11,,
,,,,,,,414.049,0.00,,,,1.30,0.04
,,,,,,,418.898,1.00,418.90,,4.89,,
,,,,,,,418.937,0.00,,,,1.26,0.04
,,,,,,,418.982,1.00,418.98,4.97,0.08,,
,,,,,,,419.034,0.00,,,,0.96,0.05
,,,,,,,420.059,1.00,420.06,,1.08,,
,,,,,,,420.111,0.00,,,,0.97,0.05
,,,,,,,420.156,1.00,420.16,1.17,0.10,,
,,,,,,,420.195,0.00,,,,1.29,0.04
,,,,,,,425.080,1.00,425.08,,4.92,,
,,,,,,,425.119,0.00,,,,1.26,0.04
,,,,,,,425.150,1.00,425.15,4.99,0.07,,
,,,,,,,425.199,0.00,,,,1.01,0.05
,,,,,,,426.215,1.00,426.21,,1.06,,
,,,,,,,426.264,0.00,,,,1.01,0.05
,,,,,,,426.298,1.00,426.30,1.15,0.08,,
,,,,,,,426.337,0.00,,,,1.26,0.04
,,,,,,,431.251,1.00,431.25,,4.95,,
,,,,,,,431.293,0.00,,,,1.18,0.04
,,,,,,,431.340,1.00,431.34,5.04,0.09,,
,,,,,,,431.397,0.00,,,,0.88,0.06
,,,,,,,432.334,1.00,432.33,,0.99,,
,,,,,,,432.392,0.00,,,,0.87,0.06
,,,,,,,432.445,1.00,432.45,1.11,0.11,,
,,,,,,,432.487,0.00,,,,1.19,0.04
,,,,,,,437.426,1.00,437.43,,4.98,,
,,,,,,,437.471,0.00,,,,1.11,0.04
,,,,,,,437.528,1.00,437.53,5.08,0.10,,
,,,,,,,437.590,0.00,,,,0.81,0.06
,,,,,,,438.467,1.00,438.47,,0.94,,
,,,,,,,438.529,0.00,,,,0.81,0.06
,,,,,,,438.589,1.00,438.59,1.06,0.12,,
,,,,,,,438.633,0.00,,,,1.14,0.04
,,,,,,,443.606,1.00,443.61,,5.02,,
,,,,,,,443.650,0.00,,,,1.12,0.04
,,,,,,,443.694,1.00,443.69,5.10,0.09,,
,,,,,,,443.754,0.00,,,,0.84,0.06
,,,,,,,444.628,1.00,444.63,,0.93,,
,,,,,,,444.687,0.00,,,,0.85,0.06
,,,,,,,444.730,1.00,444.73,1.04,0.10,,
,,,,,,,444.775,0.00,,,,1.13,0.04
,,,,,,,449.779,1.00,449.78,,5.05,,
,,,,,,,449.825,0.00,,,,1.09,0.05
,,,,,,,449.866,1.00,449.87,5.14,0.09,,
,,,,,,,449.928,0.00,,,,0.81,0.06
,,,,,,,450.768,1.00,450.77,,0.90,,
,,,,,,,450.830,0.00,,,,0.81,0.06
,,,,,,,450.876,1.00,450.88,1.01,0.11,,
,,,,,,,450.922,0.00,,,,1.09,0.05
,,,,,,,455.952,1.00,455.95,,5.08,,
,,,,,,,456.002,0.00,,,,1.01,0.05
,,,,,,,456.065,1.00,456.06,5.19,0.11,,
,,,,,,,456.138,0.00,,,,0.69,0.07
,,,,,,,456.883,1.00,456.88,,0.82,,
,,,,,,,456.955,0.00,,,,0.69,0.07
,,,,,,,457.023,1.00,457.02,0.96,0.14,,
,,,,,,,457.072,0.00,,,,1.03,0.05
,,,,,,,462.129,1.00,462.13,,5.11,,
,,,,,,,462.180,0.00,,,,0.97,0.05
,,,,,,,462.244,1.00,462.24,5.22,0.11,,
,,,,,,,462.320,0.00,,,,0.65,0.08
,,,,,,,463.023,1.00,463.02,,0.78,,
,,,,,,,463.098,0.00,,,,0.67,0.08
,,,,,,,463.162,1.00,463.16,0.92,0.14,,
,,,,,,,463.213,0.00,,,,0.99,0.05
,,,,,,,468.313,1.00,468.31,,5.15,,
,,,,,,,468.365,0.00,,,,0.97,0.05
,,,,,,,468.411,1.00,468.41,5.25,0.10,,
,,,,,,,468.485,0.00,,,,0.68,0.07
,,,,,,,469.180,1.00,469.18,,0.77,,
,,,,,,,469.252,0.00,,,,0.69,0.07
,,,,,,,469.300,1.00,469.30,0.89,0.12,,
,,,,,,,469.351,0.00,,,,0.97,0.05
,,,,,,,474.486,1.00,474.49,,5.19,,
,,,,,,,474.541,0.00,,,,0.91,0.06
,,,,,,,474.604,1.00,474.60,5.30,0.12,,
,,,,,,,474.691,0.00,,,,0.57,0.09
,,,,,,,475.291,1.00,475.29,,0.69,,
,,,,,,,475.376,0.00,,,,0.58,0.09
,,,,,,,475.445,1.00,475.45,0.84,0.15,,
,,,,,,,475.500,0.00,,,,0.91,0.05
,,,,,,,480.661,1.00,480.66,,5.22,,
,,,,,,,480.720,0.00,,,,0.84,0.06
,,,,,,,480.803,1.00,480.80,5.36,0.14,,
,,,,,,,480.907,0.00,,,,0.48,0.10
,,,,,,,481.398,1.00,481.40,,0.60,,
,,,,,,,481.499,0.00,,,,0.49,0.10
,,,,,,,481.585,1.00,481.58,0.78,0.19,,
,,,,,,,481.642,0.00,,,,0.86,0.06
,,,,,,,486.840,1.00,486.84,,5.26,,
,,,,,,,486.901,0.00,,,,0.82,0.06
,,,,,,,486.971,1.00,486.97,5.39,0.13,,
,,,,,,,487.075,0.00,,,,0.48,0.10
,,,,,,,487.553,1.00,487.55,,0.58,,
,,,,,,,487.652,0.00,,,,0.50,0.10
,,,,,,,487.720,1.00,487.72,0.75,0.17,,
,,,,,,,487.780,0.00,,,,0.84,0.06
,,,,,,,493.026,1.00,493.03,,5.31,,
,,,,,,,493.089,0.00,,,,0.79,0.06
,,,,,,,493.154,1.00,493.15,5.43,0.13,,
,,,,,,,493.267,0.00,,,,0.44,0.11
,,,,,,,493.681,1.00,493.68,,0.53,,
,,,,,,,493.789,0.00,,,,0.46,0.11
,,,,,,,493.856,1.00,493.86,0.70,0.18,,
,,,,,,,493.919,0.00,,,,0.79,0.06
,,,,,,,499.200,1.00,499.20,,5.34,,
,,,,,,,499.269,0.00,,,,0.73,0.07
,,,,,,,499.372,1.00,499.37,5.52,0.17,,
,,,,,,,499.571,0.00,,,,0.25,0.20
,,,,,,,499.729,1.00,499.73,,0.36,,
,,,,,,,499.896,0.00,,,,0.30,0.17
,,,,,,,500.000,1.00,500.00,0.63,0.27,,
,,,,,,,500.068,0.00,,,,0.74,0.07
,,,,,,,505.381,1.00,505.38,,5.38,,
,,,,,,,505.454,0.00,,,,0.68,0.07
,,,,,,,505.569,1.00,505.57,5.57,0.19,,
,,,,,,,506.029,0.00,,,,0.11,0.46
,,,,,,,506.139,1.00,506.14,,0.57,,
,,,,,,,506.211,0.00,,,,0.70,0.07
,,,,,,,511.575,1.00,511.57,6.01,5.44,,
,,,,,,,511.654,0.00,,,,0.64,0.08
,,,,,,,511.746,1.00,511.75,,0.17,,
,,,,,,,512.176,0.00,,,,0.12,0.43
,,,,,,,512.263,1.00,512.26,0.69,0.52,,
,,,,,,,512.341,0.00,,,,0.65,0.08
,,,,,,,517.761,1.00,517.76,,5.50,,
,,,,,,,517.849,0.00,,,,0.57,0.09
,,,,,,,517.992,1.00,517.99,5.73,0.23,,
,,,,,,,518.258,0.00,,,,0.19,0.27
,,,,,,,518.390,1.00,518.39,,0.40,,
,,,,,,,518.476,0.00,,,,0.58,0.09
,,,,,,,523.939,1.00,523.94,5.95,5.55,,
,,,,,,,524.039,0.00,,,,0.50,0.10
,,,,,,,524.520,1.00,524.52,,0.58,,
,,,,,,,524.617,0.00,,,,0.52,0.10
,,,,,,,530.134,1.00,530.13,6.19,5.61,,
,,,,,,,530.250,0.00,,,,0.43,0.12
,,,,,,,530.632,1.00,530.63,,0.50,,
,,,,,,,530.742,0.00,,,,0.45,0.11
,,,,,,,536.330,1.00,536.33,6.20,5.70,,
,,,,,,,536.472,0.00,,,,0.35,0.14
,,,,,,,536.736,1.00,536.74,,0.41,,
,,,,,,,536.869,0.00,,,,0.38,0.13
