"Time (s) Run #1","State Run #1","Block Event Times (s) Run #1","Period (s) Run #1","Block-to-Block Times (s) Run #1","Speed (m/s) Run #1","Time in Gate (s) Run #1","Time (s) Run #2","State Run #2","Block Event Times (s) Run #2","Period (s) Run #2","Block-to-Block Times (s) Run #2","Speed (m/s) Run #2","Time in Gate (s) Run #2"
70.936,1.00,70.94,2.65,2.65,,,69.410,1.00,69.41,2.20,2.17,,
70.945,0.00,,,,5.21,0.01,69.439,0.00,,,,1.74,0.03
74.452,1.00,74.45,,3.52,,,73.386,1.00,73.39,,3.98,,
74.459,0.00,,,,7.14,0.01,73.412,0.00,,,,1.93,0.03
74.467,1.00,74.47,3.53,0.01,,,75.563,1.00,75.56,6.15,2.18,,
74.475,0.00,,,,6.33,0.01,75.578,0.00,,,,3.42,0.01
77.101,1.00,77.10,,2.63,,,75.586,1.00,75.59,,0.02,,
77.111,0.00,,,,4.72,0.01,75.599,0.00,,,,3.73,0.01
80.616,1.00,80.62,6.15,3.52,,,79.547,1.00,79.55,3.98,3.96,,
80.624,0.00,,,,6.58,0.01,79.562,0.00,,,,3.31,0.02
80.631,1.00,80.63,,0.01,,,79.580,1.00,79.58,,0.03,,
80.637,0.00,,,,7.46,0.01,79.597,0.00,,,,2.98,0.02
83.266,1.00,83.27,2.65,2.64,,,81.708,1.00,81.71,2.16,2.13,,
83.272,0.00,,,,7.58,0.01,81.725,0.00,,,,2.99,0.02
83.278,1.00,83.28,,0.01,,,81.746,1.00,81.75,,0.04,,
83.285,0.00,,,,6.76,0.01,81.761,0.00,,,,3.42,0.01
86.798,1.00,86.80,3.53,3.52,,,85.717,1.00,85.72,4.01,3.97,,
86.804,0.00,,,,7.81,0.01,85.733,0.00,,,,3.27,0.02
86.808,1.00,86.81,,0.01,,,85.751,1.00,85.75,,0.03,,
86.815,0.00,,,,7.14,0.01,85.768,0.00,,,,2.94,0.02
89.422,1.00,89.42,2.62,2.61,,,87.869,1.00,87.87,2.15,2.12,,
89.430,0.00,,,,6.10,0.01,87.886,0.00,,,,2.92,0.02
89.438,1.00,89.44,,0.02,,,87.903,1.00,87.90,,0.03,,
89.445,0.00,,,,7.14,0.01,87.917,0.00,,,,3.45,0.01
92.972,1.00,92.97,3.55,3.53,,,91.893,1.00,91.89,4.02,3.99,,
92.984,0.00,,,,4.10,0.01,91.922,0.00,,,,1.68,0.03
95.588,1.00,95.59,,2.62,,,94.043,1.00,94.04,,2.15,,
95.596,0.00,,,,6.33,0.01,94.070,0.00,,,,1.85,0.03
95.603,1.00,95.60,2.63,0.01,,,98.060,1.00,98.06,6.17,4.02,,
95.609,0.00,,,,7.25,0.01,98.074,0.00,,,,3.50,0.01
99.143,1.00,99.14,,3.54,,,98.083,1.00,98.08,,0.02,,
99.149,0.00,,,,7.81,0.01,98.099,0.00,,,,3.16,0.02
99.151,1.00,99.15,3.55,0.01,,,100.183,1.00,100.18,2.12,2.10,,
99.158,0.00,,,,7.35,0.01,100.200,0.00,,,,2.84,0.02
