"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/19/2022 10:02:42 am,3.028,1.00,,
09/19/2022 10:02:42 am,3.045,0.00,0.02,2.91
09/19/2022 10:02:45 am,6.442,1.00,,
09/19/2022 10:02:45 am,6.460,0.00,0.02,2.87
09/19/2022 10:02:49 am,10.309,1.00,,
09/19/2022 10:02:49 am,10.326,0.00,0.02,2.86
09/19/2022 10:02:52 am,13.728,1.00,,
09/19/2022 10:02:52 am,13.747,0.00,0.02,2.58
09/19/2022 10:02:56 am,17.572,1.00,,
09/19/2022 10:02:56 am,17.593,0.00,0.02,2.44
09/19/2022 10:03:00 am,21.007,1.00,,
09/19/2022 10:03:00 am,21.026,0.00,0.02,2.72
09/19/2022 10:03:03 am,24.853,1.00,,
09/19/2022 10:03:03 am,24.870,0.00,0.02,2.87
09/19/2022 10:03:07 am,28.285,1.00,,
09/19/2022 10:03:07 am,28.303,0.00,0.02,2.75
09/19/2022 10:03:11 am,32.131,1.00,,
09/19/2022 10:03:11 am,32.151,0.00,0.02,2.53
09/19/2022 10:03:14 am,35.563,1.00,,
09/19/2022 10:03:14 am,35.586,0.00,0.02,2.18
09/19/2022 10:03:18 am,39.420,1.00,,
09/19/2022 10:03:18 am,39.441,0.00,0.02,2.42
09/19/2022 10:03:21 am,42.835,1.00,,
09/19/2022 10:03:21 am,42.854,0.00,0.02,2.67
09/19/2022 10:03:25 am,46.711,1.00,,
09/19/2022 10:03:25 am,46.730,0.00,0.02,2.72
09/19/2022 10:03:29 am,50.111,1.00,,
09/19/2022 10:03:29 am,50.130,0.00,0.02,2.65
09/19/2022 10:03:32 am,53.984,1.00,,
09/19/2022 10:03:33 am,54.006,0.00,0.02,2.29
09/19/2022 10:03:36 am,57.403,1.00,,
09/19/2022 10:03:36 am,57.427,0.00,0.02,2.12
09/19/2022 10:03:40 am,61.261,1.00,,
09/19/2022 10:03:40 am,61.283,0.00,0.02,2.28
09/19/2022 10:03:43 am,64.684,1.00,,
09/19/2022 10:03:43 am,64.704,0.00,0.02,2.50
09/19/2022 10:03:47 am,68.546,1.00,,
09/19/2022 10:03:47 am,68.566,0.00,0.02,2.53
09/19/2022 10:03:50 am,71.963,1.00,,
09/19/2022 10:03:50 am,71.984,0.00,0.02,2.39
09/19/2022 10:03:54 am,75.821,1.00,,
09/19/2022 10:03:54 am,75.845,0.00,0.02,2.13
09/19/2022 10:03:58 am,79.232,1.00,,
09/19/2022 10:03:58 am,79.254,0.00,0.02,2.21
09/19/2022 10:04:02 am,83.113,1.00,,
09/19/2022 10:04:02 am,83.132,0.00,0.02,2.53
09/19/2022 10:04:05 am,86.500,1.00,,
09/19/2022 10:04:05 am,86.520,0.00,0.02,2.53
09/19/2022 10:04:09 am,90.398,1.00,,
09/19/2022 10:04:09 am,90.418,0.00,0.02,2.51
09/19/2022 10:04:12 am,93.781,1.00,,
09/19/2022 10:04:12 am,93.802,0.00,0.02,2.45
09/19/2022 10:04:16 am,97.665,1.00,,
09/19/2022 10:04:16 am,97.689,0.00,0.02,2.07
09/19/2022 10:04:20 am,101.068,1.00,,
09/19/2022 10:04:20 am,101.093,0.00,0.03,1.99
09/19/2022 10:04:23 am,104.942,1.00,,
09/19/2022 10:04:23 am,104.964,0.00,0.02,2.18
09/19/2022 10:04:27 am,108.346,1.00,,
09/19/2022 10:04:27 am,108.367,0.00,0.02,2.28
09/19/2022 10:04:31 am,112.223,1.00,,
09/19/2022 10:04:31 am,112.246,0.00,0.02,2.20
09/19/2022 10:04:34 am,115.627,1.00,,
09/19/2022 10:04:34 am,115.651,0.00,0.02,2.02
09/19/2022 10:04:38 am,119.506,1.00,,
09/19/2022 10:04:38 am,119.532,0.00,0.03,1.92
09/19/2022 10:04:41 am,122.898,1.00,,
