"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/19/2022 10:20:41 am,179.868,1.00,,
09/19/2022 10:20:41 am,179.913,0.00,0.04,1.11
09/19/2022 10:20:45 am,183.366,1.00,,
09/19/2022 10:20:45 am,183.407,0.00,0.04,1.20
09/19/2022 10:20:49 am,187.174,1.00,,
09/19/2022 10:20:49 am,187.221,0.00,0.05,1.06
09/19/2022 10:20:52 am,190.631,1.00,,
09/19/2022 10:20:52 am,190.676,0.00,0.04,1.12
09/19/2022 10:20:56 am,194.433,1.00,,
09/19/2022 10:20:56 am,194.476,0.00,0.04,1.18
09/19/2022 10:20:59 am,197.926,1.00,,
09/19/2022 10:20:59 am,197.975,0.00,0.05,1.01
09/19/2022 10:21:03 am,201.718,1.00,,
09/19/2022 10:21:03 am,201.764,0.00,0.05,1.08
09/19/2022 10:21:07 am,205.173,1.00,,
09/19/2022 10:21:07 am,205.215,0.00,0.04,1.18
09/19/2022 10:21:11 am,209.017,1.00,,
09/19/2022 10:21:11 am,209.062,0.00,0.04,1.12
09/19/2022 10:21:14 am,212.449,1.00,,
09/19/2022 10:21:14 am,212.492,0.00,0.04,1.16
09/19/2022 10:21:18 am,216.279,1.00,,
09/19/2022 10:21:18 am,216.326,0.00,0.05,1.06
09/19/2022 10:21:21 am,219.758,1.00,,
09/19/2022 10:21:21 am,219.809,0.00,0.05,0.97
09/19/2022 10:21:25 am,223.548,1.00,,
09/19/2022 10:21:25 am,223.593,0.00,0.04,1.12
09/19/2022 10:21:29 am,227.020,1.00,,
09/19/2022 10:21:29 am,227.065,0.00,0.04,1.12
09/19/2022 10:21:32 am,230.838,1.00,,
09/19/2022 10:21:32 am,230.885,0.00,0.05,1.07
09/19/2022 10:21:36 am,234.302,1.00,,
09/19/2022 10:21:36 am,234.346,0.00,0.04,1.13
09/19/2022 10:21:40 am,238.090,1.00,,
09/19/2022 10:21:40 am,238.138,0.00,0.05,1.04
09/19/2022 10:21:43 am,241.579,1.00,,
09/19/2022 10:21:43 am,241.631,0.00,0.05,0.96
09/19/2022 10:21:47 am,245.398,1.00,,
09/19/2022 10:21:47 am,245.443,0.00,0.04,1.11
09/19/2022 10:21:50 am,248.826,1.00,,
09/19/2022 10:21:50 am,248.871,0.00,0.05,1.11
09/19/2022 10:21:54 am,252.684,1.00,,
09/19/2022 10:21:54 am,252.730,0.00,0.05,1.10
09/19/2022 10:21:58 am,256.114,1.00,,
09/19/2022 10:21:58 am,256.159,0.00,0.05,1.11
09/19/2022 10:22:01 am,259.928,1.00,,
09/19/2022 10:22:01 am,259.982,0.00,0.05,0.94
09/19/2022 10:22:05 am,263.415,1.00,,
09/19/2022 10:22:05 am,263.465,0.00,0.05,1.01
09/19/2022 10:22:09 am,267.218,1.00,,
09/19/2022 10:22:09 am,267.264,0.00,0.05,1.08
09/19/2022 10:22:12 am,270.675,1.00,,
09/19/2022 10:22:12 am,270.722,0.00,0.05,1.06
09/19/2022 10:22:16 am,274.495,1.00,,
09/19/2022 10:22:16 am,274.541,0.00,0.05,1.08
09/19/2022 10:22:19 am,277.968,1.00,,
09/19/2022 10:22:20 am,278.015,0.00,0.05,1.06
09/19/2022 10:22:23 am,281.754,1.00,,
09/19/2022 10:22:23 am,281.809,0.00,0.06,0.90
09/19/2022 10:22:27 am,285.229,1.00,,
09/19/2022 10:22:27 am,285.281,0.00,0.05,0.97
09/19/2022 10:22:31 am,289.068,1.00,,
09/19/2022 10:22:31 am,289.115,0.00,0.05,1.07
09/19/2022 10:22:34 am,292.489,1.00,,
09/19/2022 10:22:34 am,292.536,0.00,0.05,1.06
09/19/2022 10:22:38 am,296.350,1.00,,
09/19/2022 10:22:38 am,296.397,0.00,0.05,1.06
09/19/2022 10:22:41 am,299.787,1.00,,
09/19/2022 10:22:41 am,299.840,0.00,0.05,0.93
09/19/2022 10:22:45 am,303.593,1.00,,
09/19/2022 10:22:45 am,303.649,0.00,0.06,0.88
09/19/2022 10:22:49 am,307.081,1.00,,
09/19/2022 10:22:49 am,307.130,0.00,0.05,1.02
09/19/2022 10:22:52 am,310.892,1.00,,
09/19/2022 10:22:52 am,310.941,0.00,0.05,1.03
09/19/2022 10:22:56 am,314.346,1.00,,
09/19/2022 10:22:56 am,314.395,0.00,0.05,1.03
09/19/2022 10:23:00 am,318.167,1.00,,
09/19/2022 10:23:00 am,318.216,0.00,0.05,1.02
09/19/2022 10:23:03 am,321.644,1.00,,
09/19/2022 10:23:03 am,321.697,0.00,0.05,0.93
09/19/2022 10:23:07 am,325.443,1.00,,
09/19/2022 10:23:07 am,325.501,0.00,0.06,0.86
09/19/2022 10:23:10 am,328.894,1.00,,
09/19/2022 10:23:10 am,328.943,0.00,0.05,1.01
09/19/2022 10:23:14 am,332.756,1.00,,
09/19/2022 10:23:14 am,332.806,0.00,0.05,1.00
09/19/2022 10:23:18 am,336.162,1.00,,
09/19/2022 10:23:18 am,336.212,0.00,0.05,1.01
09/19/2022 10:23:22 am,340.019,1.00,,
09/19/2022 10:23:22 am,340.072,0.00,0.05,0.96
09/19/2022 10:23:25 am,343.463,1.00,,
09/19/2022 10:23:25 am,343.523,0.00,0.06,0.84
09/19/2022 10:23:29 am,347.273,1.00,,
09/19/2022 10:23:29 am,347.329,0.00,0.06,0.89
09/19/2022 10:23:32 am,350.745,1.00,,
09/19/2022 10:23:32 am,350.796,0.00,0.05,0.98
09/19/2022 10:23:36 am,354.572,1.00,,
09/19/2022 10:23:36 am,354.624,0.00,0.05,0.97
09/19/2022 10:23:40 am,358.018,1.00,,
09/19/2022 10:23:40 am,358.069,0.00,0.05,0.97
09/19/2022 10:23:43 am,361.837,1.00,,
09/19/2022 10:23:43 am,361.892,0.00,0.05,0.92
09/19/2022 10:23:47 am,365.306,1.00,,
09/19/2022 10:23:47 am,365.367,0.00,0.06,0.81
09/19/2022 10:23:51 am,369.124,1.00,,
09/19/2022 10:23:51 am,369.184,0.00,0.06,0.84
09/19/2022 10:23:54 am,372.545,1.00,,
09/19/2022 10:23:54 am,372.597,0.00,0.05,0.96
09/19/2022 10:23:58 am,376.425,1.00,,
09/19/2022 10:23:58 am,376.478,0.00,0.05,0.94
09/19/2022 10:24:01 am,379.827,1.00,,
09/19/2022 10:24:01 am,379.879,0.00,0.05,0.95
09/19/2022 10:24:05 am,383.678,1.00,,
09/19/2022 10:24:05 am,383.740,0.00,0.06,0.81
09/19/2022 10:24:09 am,387.134,1.00,,
09/19/2022 10:24:09 am,387.196,0.00,0.06,0.80
09/19/2022 10:24:12 am,390.952,1.00,,
09/19/2022 10:24:13 am,391.009,0.00,0.06,0.89
09/19/2022 10:24:16 am,394.403,1.00,,
09/19/2022 10:24:16 am,394.457,0.00,0.05,0.93
09/19/2022 10:24:20 am,398.245,1.00,,
09/19/2022 10:24:20 am,398.299,0.00,0.05,0.92
09/19/2022 10:24:23 am,401.687,1.00,,
09/19/2022 10:24:23 am,401.742,0.00,0.05,0.91
09/19/2022 10:24:27 am,405.500,1.00,,
09/19/2022 10:24:27 am,405.563,0.00,0.06,0.79
09/19/2022 10:24:30 am,408.957,1.00,,
09/19/2022 10:24:31 am,409.020,0.00,0.06,0.80
09/19/2022 10:24:34 am,412.808,1.00,,
09/19/2022 10:24:34 am,412.865,0.00,0.06,0.88
09/19/2022 10:24:38 am,416.205,1.00,,
09/19/2022 10:24:38 am,416.259,0.00,0.05,0.92
09/19/2022 10:24:42 am,420.094,1.00,,
09/19/2022 10:24:42 am,420.150,0.00,0.06,0.90
09/19/2022 10:24:45 am,423.494,1.00,,
09/19/2022 10:24:45 am,423.554,0.00,0.06,0.83
09/19/2022 10:24:49 am,427.332,1.00,,
09/19/2022 10:24:49 am,427.400,0.00,0.07,0.75
09/19/2022 10:24:52 am,430.795,1.00,,
09/19/2022 10:24:52 am,430.856,0.00,0.06,0.82
09/19/2022 10:24:56 am,434.622,1.00,,
09/19/2022 10:24:56 am,434.680,0.00,0.06,0.87
09/19/2022 10:25:00 am,438.062,1.00,,
09/19/2022 10:25:00 am,438.118,0.00,0.06,0.88
09/19/2022 10:25:03 am,441.907,1.00,,
09/19/2022 10:25:03 am,441.965,0.00,0.06,0.87
09/19/2022 10:25:07 am,445.354,1.00,,
09/19/2022 10:25:07 am,445.415,0.00,0.06,0.83
09/19/2022 10:25:11 am,449.174,1.00,,
09/19/2022 10:25:11 am,449.244,0.00,0.07,0.72
09/19/2022 10:25:14 am,452.612,1.00,,
09/19/2022 10:25:14 am,452.677,0.00,0.06,0.78
09/19/2022 10:25:18 am,456.495,1.00,,
09/19/2022 10:25:18 am,456.554,0.00,0.06,0.85
09/19/2022 10:25:21 am,459.875,1.00,,
09/19/2022 10:25:21 am,459.932,0.00,0.06,0.88
09/19/2022 10:25:25 am,463.766,1.00,,
09/19/2022 10:25:25 am,463.827,0.00,0.06,0.82
09/19/2022 10:25:29 am,467.176,1.00,,
09/19/2022 10:25:29 am,467.243,0.00,0.07,0.75
09/19/2022 10:25:33 am,471.013,1.00,,
09/19/2022 10:25:33 am,471.083,0.00,0.07,0.72
09/19/2022 10:25:36 am,474.464,1.00,,
09/19/2022 10:25:36 am,474.524,0.00,0.06,0.83
09/19/2022 10:25:40 am,478.308,1.00,,
09/19/2022 10:25:40 am,478.368,0.00,0.06,0.83
09/19/2022 10:25:43 am,481.733,1.00,,
09/19/2022 10:25:43 am,481.792,0.00,0.06,0.85
09/19/2022 10:25:47 am,485.574,1.00,,
09/19/2022 10:25:47 am,485.637,0.00,0.06,0.80
09/19/2022 10:25:51 am,489.019,1.00,,
09/19/2022 10:25:51 am,489.087,0.00,0.07,0.73
09/19/2022 10:25:54 am,492.856,1.00,,
09/19/2022 10:25:54 am,492.928,0.00,0.07,0.70
09/19/2022 10:25:58 am,496.272,1.00,,
09/19/2022 10:25:58 am,496.335,0.00,0.06,0.81
09/19/2022 10:26:02 am,500.171,1.00,,
09/19/2022 10:26:02 am,500.233,0.00,0.06,0.81
09/19/2022 10:26:05 am,503.545,1.00,,
09/19/2022 10:26:05 am,503.606,0.00,0.06,0.83
09/19/2022 10:26:09 am,507.424,1.00,,
09/19/2022 10:26:09 am,507.495,0.00,0.07,0.71
09/19/2022 10:26:12 am,510.847,1.00,,
09/19/2022 10:26:12 am,510.919,0.00,0.07,0.70
09/19/2022 10:26:16 am,514.683,1.00,,
09/19/2022 10:26:16 am,514.751,0.00,0.07,0.74
09/19/2022 10:26:20 am,518.123,1.00,,
09/19/2022 10:26:20 am,518.184,0.00,0.06,0.81
09/19/2022 10:26:23 am,521.977,1.00,,
09/19/2022 10:26:24 am,522.039,0.00,0.06,0.80
09/19/2022 10:26:27 am,525.404,1.00,,
09/19/2022 10:26:27 am,525.466,0.00,0.06,0.80
09/19/2022 10:26:31 am,529.245,1.00,,
09/19/2022 10:26:31 am,529.315,0.00,0.07,0.71
09/19/2022 10:26:34 am,532.683,1.00,,
09/19/2022 10:26:34 am,532.756,0.00,0.07,0.68
09/19/2022 10:26:38 am,536.544,1.00,,
09/19/2022 10:26:38 am,536.616,0.00,0.07,0.69
09/19/2022 10:26:41 am,539.928,1.00,,
09/19/2022 10:26:41 am,539.991,0.00,0.06,0.79
09/19/2022 10:26:45 am,543.836,1.00,,
09/19/2022 10:26:45 am,543.901,0.00,0.06,0.77
09/19/2022 10:26:49 am,547.207,1.00,,
09/19/2022 10:26:49 am,547.276,0.00,0.07,0.73
09/19/2022 10:26:53 am,551.083,1.00,,
09/19/2022 10:26:53 am,551.159,0.00,0.08,0.66
09/19/2022 10:26:56 am,554.511,1.00,,
09/19/2022 10:26:56 am,554.583,0.00,0.07,0.69
09/19/2022 10:27:00 am,558.359,1.00,,
09/19/2022 10:27:00 am,558.428,0.00,0.07,0.73
09/19/2022 10:27:03 am,561.783,1.00,,
09/19/2022 10:27:03 am,561.848,0.00,0.06,0.77
09/19/2022 10:27:07 am,565.646,1.00,,
09/19/2022 10:27:07 am,565.712,0.00,0.07,0.75
09/19/2022 10:27:11 am,569.065,1.00,,
09/19/2022 10:27:11 am,569.133,0.00,0.07,0.73
09/19/2022 10:27:14 am,572.909,1.00,,
09/19/2022 10:27:14 am,572.988,0.00,0.08,0.63
09/19/2022 10:27:18 am,576.327,1.00,,
09/19/2022 10:27:18 am,576.402,0.00,0.07,0.67
09/19/2022 10:27:22 am,580.220,1.00,,
09/19/2022 10:27:22 am,580.292,0.00,0.07,0.69
09/19/2022 10:27:25 am,583.582,1.00,,
09/19/2022 10:27:25 am,583.648,0.00,0.07,0.75
09/19/2022 10:27:29 am,587.502,1.00,,
09/19/2022 10:27:29 am,587.573,0.00,0.07,0.70
09/19/2022 10:27:32 am,590.876,1.00,,
09/19/2022 10:27:32 am,590.953,0.00,0.08,0.65
09/19/2022 10:27:36 am,594.748,1.00,,
09/19/2022 10:27:36 am,594.830,0.00,0.08,0.62
09/19/2022 10:27:40 am,598.180,1.00,,
09/19/2022 10:27:40 am,598.253,0.00,0.07,0.69
09/19/2022 10:27:44 am,602.044,1.00,,
09/19/2022 10:27:44 am,602.115,0.00,0.07,0.71
09/19/2022 10:27:47 am,605.451,1.00,,
09/19/2022 10:27:47 am,605.519,0.00,0.07,0.73
