Velocity In Gate, Ch 1, Run #1
Time ( s )	Velocity In Gate ( m/s )
0.4459	0.33
1.4337	0.33
2.4414	0.33
3.4292	0.33
4.4370	0.33
5.4249	0.32
6.4327	0.33
7.4203	0.33
8.4282	0.33
9.4159	0.33
10.4238	0.33
11.4115	0.32
12.4193	0.32
13.4070	0.32
14.4150	0.32
15.4026	0.32
16.4106	0.32
17.3983	0.32
18.4062	0.32
19.3938	0.32
20.4017	0.32
21.3894	0.32
22.3973	0.32
23.3849	0.32
24.3928	0.32
25.3805	0.32
26.3885	0.32
27.3761	0.32
28.3841	0.32
29.3717	0.32
30.3796	0.32
31.3672	0.32
32.3752	0.32
33.3628	0.32
34.3707	0.32
35.3583	0.32
36.3663	0.32
37.3539	0.32
38.3619	0.32
39.3495	0.32
40.3575	0.32
41.3450	0.32
42.3529	0.32
43.3405	0.32
44.3485	0.32
45.3360	0.32
46.3440	0.32
47.3315	0.32
48.3396	0.32
49.3271	0.32
50.3351	0.32
51.3227	0.32
52.3306	0.32
53.3182	0.32
54.3262	0.32
55.3137	0.32
56.3217	0.32
57.3093	0.32
58.3173	0.32
59.3049	0.32
60.3129	0.32
