Velocity In Gate, Ch 1, Run #16
Time ( s )	Velocity In Gate ( m/s )
0.7889	0.74
1.7798	0.74
2.7277	0.74
3.7186	0.74
4.6665	0.74
5.6573	0.74
6.6054	0.74
7.5963	0.74
8.5442	0.73
9.5350	0.73
10.4829	0.74
11.4738	0.74
12.4218	0.73
13.4126	0.73
14.3605	0.73
15.3514	0.73
16.2993	0.73
17.2902	0.73
18.2381	0.73
19.2290	0.73
20.1768	0.73
21.1677	0.73
22.1155	0.73
23.1066	0.73
24.0544	0.73
25.0453	0.73
25.9931	0.73
26.9841	0.73
27.9319	0.73
28.9229	0.73
29.8707	0.73
30.8617	0.73
31.8095	0.73
32.8005	0.73
33.7483	0.73
34.7393	0.73
35.6870	0.73
36.6781	0.73
37.6258	0.73
38.6169	0.73
39.5646	0.73
40.5556	0.73
41.5033	0.73
42.4944	0.73
43.4421	0.73
44.4332	0.72
45.3808	0.72
46.3719	0.72
47.3195	0.72
48.3106	0.72
49.2583	0.72
50.2494	0.72
51.1970	0.72
52.1882	0.72
53.1357	0.72
54.1269	0.72
55.0745	0.72
56.0656	0.72
57.0132	0.72
58.0044	0.72
58.9518	0.72
59.9432	0.72
60.8906	0.72
61.8819	0.72
