Velocity In Gate, Ch 1, Run #21
Time ( s )	Velocity In Gate ( m/s )
0.5000	0.65
1.5140	0.65
2.4939	0.65
3.5077	0.65
4.4875	0.65
5.5015	0.65
6.4815	0.65
7.4955	0.65
8.4753	0.65
9.4894	0.65
10.4692	0.65
11.4833	0.65
12.4631	0.65
13.4771	0.64
14.4569	0.64
15.4711	0.64
16.4508	0.64
17.4650	0.64
18.4447	0.64
19.4588	0.64
20.4385	0.64
21.4527	0.64
22.4324	0.64
23.4466	0.64
24.4263	0.64
25.4404	0.64
26.4201	0.64
27.4343	0.64
28.4140	0.64
29.4282	0.64
30.4078	0.64
31.4221	0.64
32.4017	0.64
33.4159	0.64
34.3956	0.64
35.4098	0.64
36.3893	0.64
37.4036	0.64
38.3833	0.64
39.3975	0.64
40.3771	0.64
41.3912	0.64
42.3709	0.64
43.3851	0.64
44.3647	0.64
45.3790	0.64
46.3585	0.64
47.3727	0.64
48.3523	0.63
49.3666	0.63
50.3461	0.63
51.3605	0.63
52.3399	0.63
53.3543	0.63
54.3338	0.63
55.3481	0.63
56.3276	0.63
57.3419	0.63
58.3214	0.63
59.3358	0.63
60.3152	0.63
61.3297	0.63
62.3090	0.63
63.3234	0.63
