Velocity In Gate, Ch 1, Run #2
Time ( s )	Velocity In Gate ( m/s )
0.1861	0.68
1.1896	0.68
2.1623	0.68
3.1657	0.68
4.1383	0.68
5.1418	0.68
6.1143	0.68
7.1179	0.68
8.0904	0.68
9.0939	0.67
10.0665	0.67
11.0700	0.67
12.0424	0.67
13.0460	0.67
14.0185	0.67
15.0221	0.67
15.9945	0.67
16.9981	0.67
17.9705	0.67
18.9741	0.67
19.9466	0.67
20.9501	0.67
21.9226	0.67
22.9262	0.67
23.8986	0.67
24.9022	0.67
25.8745	0.67
26.8782	0.67
27.8506	0.67
28.8542	0.67
29.8266	0.67
30.8302	0.67
31.8025	0.67
32.8063	0.67
33.7785	0.67
34.7823	0.67
35.7546	0.67
36.7583	0.67
37.7306	0.67
38.7343	0.67
39.7065	0.67
40.7103	0.67
41.6826	0.67
42.6863	0.67
43.6585	0.67
44.6622	0.67
45.6345	0.67
46.6382	0.66
47.6105	0.67
48.6142	0.66
49.5864	0.66
50.5902	0.66
51.5624	0.66
52.5661	0.66
53.5383	0.66
54.5421	0.66
55.5142	0.66
56.5181	0.66
57.4902	0.66
58.4940	0.66
59.4662	0.66
60.4700	0.66
61.4421	0.66
62.4459	0.66
63.4180	0.66
64.4219	0.66
