Velocity In Gate, Ch 1, Run #12
Time ( s )	Velocity In Gate ( m/s )
0.9673	0.91
1.9507	0.91
2.8953	0.91
3.8787	0.91
4.8233	0.91
5.8067	0.91
6.7513	0.91
7.7347	0.91
8.6793	0.91
9.6628	0.91
10.6073	0.91
11.5908	0.90
12.5353	0.90
13.5188	0.90
14.4633	0.90
15.4468	0.90
16.3913	0.90
17.3747	0.90
18.3193	0.90
19.3027	0.90
20.2471	0.90
21.2307	0.90
22.1751	0.90
23.1587	0.90
24.1031	0.90
25.0867	0.90
26.0311	0.90
27.0147	0.90
27.9590	0.90
28.9426	0.90
29.8869	0.90
30.8706	0.90
31.8149	0.90
32.7986	0.90
33.7429	0.90
34.7266	0.90
35.6709	0.90
36.6545	0.89
37.5988	0.89
38.5825	0.89
39.5268	0.89
40.5105	0.89
41.4547	0.89
42.4385	0.89
43.3827	0.89
44.3664	0.89
45.3106	0.89
46.2943	0.89
47.2384	0.89
48.2222	0.89
49.1664	0.89
50.1502	0.89
51.0943	0.89
52.0781	0.89
53.0222	0.89
54.0061	0.89
54.9501	0.89
55.9340	0.89
56.8781	0.89
57.8619	0.89
58.8060	0.89
59.7898	0.88
