Velocity In Gate, Ch 1, Run #3
Time ( s )	Velocity In Gate ( m/s )
0.8676	0.72
1.7998	0.72
2.7578	0.72
3.6900	0.72
4.6481	0.72
5.5803	0.72
6.5383	0.72
7.4705	0.72
8.4286	0.72
9.3607	0.72
10.3189	0.72
11.2509	0.72
12.2091	0.72
13.1411	0.72
14.0993	0.72
15.0313	0.72
15.9895	0.72
16.9215	0.72
17.8797	0.71
18.8117	0.72
19.7699	0.71
20.7019	0.71
21.6602	0.71
22.5920	0.71
23.5503	0.71
24.4822	0.71
25.4405	0.71
26.3724	0.71
27.3307	0.71
28.2626	0.71
29.2208	0.71
30.1527	0.71
31.1110	0.71
32.0428	0.71
33.0011	0.71
33.9330	0.71
34.8913	0.71
35.8231	0.71
36.7815	0.71
37.7134	0.71
38.6717	0.70
39.6035	0.71
40.5619	0.70
41.4937	0.70
42.4521	0.70
43.3838	0.70
44.3422	0.70
45.2740	0.70
46.2323	0.70
47.1642	0.70
48.1225	0.70
49.0543	0.70
50.0127	0.70
50.9445	0.70
51.9029	0.70
52.8345	0.70
53.7930	0.70
54.7246	0.70
55.6831	0.70
56.6148	0.70
57.5732	0.70
58.5049	0.70
59.4634	0.69
60.3950	0.70
61.3535	0.69
62.2852	0.69
63.2437	0.69
64.1753	0.69
65.1338	0.69
66.0654	0.69
67.0240	0.69
67.9555	0.69
68.9142	0.69
69.8457	0.69
70.8043	0.69
71.7358	0.69
72.6944	0.69
73.6259	0.69
74.5846	0.69
75.5161	0.69
76.4747	0.69
77.4062	0.69
78.3649	0.69
79.2964	0.69
80.2550	0.69
81.1865	0.69
82.1451	0.68
83.0765	0.68
