Velocity In Gate, Ch 1, Run #14
Time ( s )	Velocity In Gate ( m/s )
0.2954	1.05
1.2441	1.06
2.2272	1.05
3.1760	1.05
4.1591	1.05
5.1077	1.05
6.0908	1.05
7.0396	1.05
8.0228	1.05
8.9714	1.05
9.9546	1.05
10.9032	1.05
11.8864	1.05
12.8350	1.05
13.8182	1.05
14.7669	1.05
15.7501	1.05
16.6987	1.05
17.6820	1.05
18.6306	1.05
19.6138	1.04
20.5624	1.05
21.5457	1.04
22.4942	1.04
23.4776	1.04
24.4260	1.04
25.4094	1.04
26.3578	1.04
27.3412	1.04
28.2897	1.04
29.2730	1.04
30.2214	1.04
31.2047	1.04
32.1532	1.04
33.1366	1.04
34.0850	1.04
35.0684	1.04
36.0168	1.04
37.0002	1.04
37.9486	1.04
38.9321	1.04
39.8804	1.04
40.8638	1.04
41.8121	1.04
42.7956	1.03
43.7439	1.04
44.7274	1.03
45.6757	1.03
46.6592	1.03
47.6075	1.03
48.5909	1.03
49.5392	1.03
50.5227	1.03
51.4710	1.03
52.4545	1.03
53.4028	1.03
54.3863	1.03
55.3345	1.03
56.3180	1.03
57.2663	1.03
58.2498	1.02
59.1980	1.02
60.1815	1.03
