Velocity In Gate, Ch 1, Run #13
Time ( s )	Velocity In Gate ( m/s )
0.2626	0.94
1.2161	0.94
2.1386	0.94
3.0922	0.93
4.0145	0.93
4.9681	0.93
5.8905	0.93
6.8441	0.93
7.7665	0.93
8.7201	0.93
9.6425	0.93
10.5961	0.93
11.5185	0.93
12.4720	0.93
13.3944	0.93
14.3480	0.93
15.2704	0.93
16.2239	0.93
17.1463	0.93
18.0998	0.92
19.0222	0.93
19.9759	0.92
20.8980	0.92
21.8518	0.92
22.7740	0.92
23.7277	0.92
24.6499	0.92
25.6036	0.92
26.5258	0.92
27.4796	0.92
28.4018	0.92
29.3555	0.92
30.2777	0.92
31.2314	0.92
32.1536	0.92
33.1074	0.92
34.0295	0.92
34.9833	0.92
35.9054	0.92
36.8592	0.91
37.7814	0.91
38.7351	0.91
39.6572	0.91
40.6109	0.91
41.5330	0.91
42.4868	0.91
43.4089	0.91
44.3627	0.91
45.2848	0.91
46.2387	0.91
47.1606	0.91
48.1145	0.91
49.0364	0.91
49.9904	0.91
50.9123	0.91
51.8663	0.90
52.7881	0.90
53.7420	0.90
54.6640	0.90
55.6179	0.90
56.5398	0.90
57.4938	0.90
58.4158	0.90
59.3697	0.90
60.2916	0.90
