Velocity In Gate, Ch 1, Run #15
Time ( s )	Velocity In Gate ( m/s )
0.5096	0.71
1.4760	0.71
2.4062	0.70
3.3728	0.71
4.3027	0.70
5.2697	0.71
6.1994	0.70
7.1663	0.70
8.0962	0.70
9.0631	0.70
9.9930	0.70
10.9596	0.70
11.8896	0.70
12.8563	0.70
13.7863	0.70
14.7531	0.70
15.6829	0.70
16.6498	0.70
17.5795	0.70
18.5465	0.70
19.4763	0.70
20.4431	0.70
21.3729	0.70
22.3398	0.70
23.2696	0.70
24.2365	0.70
25.1662	0.70
26.1332	0.70
27.0629	0.70
28.0298	0.70
28.9595	0.70
29.9265	0.69
30.8562	0.69
31.8232	0.69
32.7529	0.69
33.7198	0.69
34.6495	0.69
35.6165	0.69
36.5461	0.69
37.5131	0.69
38.4428	0.69
39.4098	0.69
40.3394	0.69
41.3065	0.69
42.2361	0.69
43.2032	0.69
44.1328	0.69
45.0999	0.69
46.0294	0.69
46.9965	0.69
47.9260	0.69
48.8931	0.69
49.8226	0.69
50.7898	0.69
51.7192	0.69
52.6865	0.69
53.6158	0.69
54.5831	0.68
55.5124	0.69
56.4797	0.68
57.4091	0.68
58.3764	0.68
59.3057	0.68
60.2730	0.68
61.2023	0.68
62.1696	0.68
63.0989	0.68
64.0663	0.68
64.9956	0.68
65.9630	0.68
66.8922	0.68
67.8595	0.68
68.7888	0.68
69.7562	0.68
70.6855	0.68
71.6528	0.68
72.5820	0.68
73.5495	0.68
74.4786	0.68
75.4461	0.68
76.3752	0.68
77.3427	0.68
78.2718	0.68
79.2393	0.67
80.1684	0.68
81.1359	0.67
82.0651	0.68
