Velocity In Gate, Ch 1, Run #11
Time ( s )	Velocity In Gate ( m/s )
0.6584	1.13
1.6006	1.13
2.5199	1.13
3.4621	1.13
4.3814	1.13
5.3235	1.13
6.2428	1.13
7.1850	1.13
8.1043	1.13
9.0465	1.12
9.9657	1.12
10.9081	1.12
11.8273	1.12
12.7695	1.12
13.6887	1.12
14.6309	1.12
15.5501	1.12
16.4924	1.12
17.4115	1.12
18.3539	1.12
19.2730	1.12
20.2153	1.12
21.1344	1.12
22.0767	1.11
22.9958	1.11
23.9382	1.11
24.8572	1.11
25.7996	1.11
26.7186	1.11
27.6610	1.11
28.5800	1.11
29.5224	1.11
30.4414	1.11
31.3839	1.11
32.3029	1.11
33.2452	1.10
34.1642	1.10
35.1067	1.10
36.0256	1.10
36.9680	1.10
37.8869	1.10
38.8294	1.10
39.7483	1.10
40.6907	1.10
41.6096	1.10
42.5520	1.10
43.4709	1.10
44.4134	1.10
45.3322	1.09
46.2747	1.09
47.1935	1.09
48.1360	1.09
49.0549	1.09
49.9974	1.09
50.9162	1.09
51.8588	1.09
52.7775	1.09
53.7200	1.09
54.6388	1.09
55.5813	1.08
56.5001	1.09
57.4427	1.08
58.3614	1.08
59.3040	1.08
60.2227	1.08
61.1653	1.08
62.0840	1.08
