,City,Latitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
91,punta arenas,-53.15,277.15,5.14,75.0,broken clouds,75.0
92,cherskiy,68.75,271.45,5.36,42.0,scattered clouds,78.0
93,bredasdorp,-34.5322,290.15,2.06,100.0,overcast clouds,51.0
94,saint-augustin,51.226,281.97,5.83,100.0,overcast clouds,53.0
95,atuona,-9.8,300.07,7.2,20.0,few clouds,76.0
96,nanortalik,60.1432,278.19,9.14,49.0,scattered clouds,60.0
97,vardo,70.3705,269.15,2.57,0.0,clear sky,63.0
98,bambanglipuro,-7.95,297.6,2.32,70.0,broken clouds,88.0
99,caravelas,-17.7125,297.3,4.04,83.0,broken clouds,75.0
100,yellowknife,62.456,277.04,6.17,20.0,few clouds,35.0
101,richards bay,-28.783,291.32,1.44,56.0,broken clouds,80.0
102,jizan,17.3333,302.15,2.06,0.0,clear sky,74.0
103,manaus,-3.1019,299.15,3.09,75.0,broken clouds,83.0
104,channel-port aux basques,47.5702,276.31,11.23,33.0,scattered clouds,79.0
105,kodiak,57.79,278.15,6.17,90.0,moderate rain,87.0
106,biloela,-24.4167,292.62,2.37,100.0,overcast clouds,71.0
107,port alfred,-33.5906,293.48,5.57,0.0,clear sky,60.0
108,taman,45.2117,286.15,2.0,92.0,overcast clouds,88.0
109,chontalpa,17.7,309.74,11.36,29.0,scattered clouds,31.0
110,arak,34.0917,284.61,1.15,90.0,overcast clouds,66.0
111,bethel,41.3712,289.15,4.12,90.0,overcast clouds,59.0
112,mackenzie,55.2999,281.15,6.17,90.0,overcast clouds,76.0
113,ribeira grande,38.5167,290.05,2.1,54.0,broken clouds,80.0
114,svetlaya,46.5389,277.86,2.45,19.0,few clouds,83.0
115,clyde river,70.4692,270.15,9.26,1.0,clear sky,80.0
116,pevek,69.7008,263.95,4.64,58.0,broken clouds,86.0
117,alofi,-19.0595,298.15,6.69,75.0,heavy intensity drizzle,83.0
118,gamba,-2.65,298.67,2.14,100.0,overcast clouds,91.0
119,sorland,67.667,275.57,5.92,7.0,clear sky,62.0
120,macae,-22.3708,295.15,0.51,0.0,clear sky,94.0
121,arraial do cabo,-22.9661,296.15,1.54,0.0,clear sky,83.0
122,nantucket,41.2835,284.15,4.63,90.0,overcast clouds,82.0
123,taicheng,38.731,280.04,3.59,44.0,scattered clouds,29.0
124,rio grande,-32.035,297.04,0.45,3.0,light rain,76.0
125,bjornevatn,69.6672,270.15,1.03,0.0,clear sky,80.0
126,oksfjord,70.2396,270.15,1.54,6.0,clear sky,68.0
127,maumere,-8.6199,298.57,2.13,61.0,broken clouds,72.0
128,ixtapa,20.7,299.15,6.17,20.0,few clouds,65.0
129,cabo san lucas,22.8909,306.15,8.23,1.0,clear sky,44.0
130,katsuura,35.1333,291.48,1.8,0.0,clear sky,63.0
131,matay,28.419,302.85,3.91,80.0,broken clouds,13.0
132,torbay,47.6666,277.04,3.13,59.0,light rain,86.0
133,broken hill,-31.95,281.15,5.66,0.0,clear sky,93.0
134,hithadhoo,-0.6,301.68,2.39,100.0,overcast clouds,70.0
135,turayf,31.6725,294.15,6.17,0.0,clear sky,37.0
136,new norfolk,-42.7826,278.15,1.27,43.0,scattered clouds,90.0
137,ati,13.2154,304.49,3.96,12.0,few clouds,10.0
138,grindavik,63.8424,277.15,4.63,0.0,clear sky,65.0
139,hilo,19.7297,301.15,4.63,75.0,broken clouds,57.0
140,castro,-24.7911,290.62,1.5,37.0,scattered clouds,70.0
141,bom jesus,-9.0744,301.34,1.2,77.0,broken clouds,43.0
142,ossora,59.2353,271.63,4.44,100.0,light snow,88.0
143,cape town,-33.9258,294.15,3.09,0.0,clear sky,52.0
144,sur,22.5667,301.91,4.69,79.0,broken clouds,56.0
145,ulcinj,41.9294,287.15,1.03,0.0,clear sky,82.0
146,chiang khong,20.2613,295.15,1.54,0.0,clear sky,100.0
147,ilulissat,69.2167,282.15,7.72,0.0,clear sky,29.0
148,russko-vysotskoye,59.6996,275.15,6.0,90.0,moderate rain,87.0
149,puerto carreno,6.189,298.39,1.79,100.0,very heavy rain,84.0
150,bodden town,19.2833,303.15,5.66,20.0,few clouds,70.0
151,xifeng,42.7372,282.88,6.9,100.0,overcast clouds,76.0
152,east london,-33.0153,291.87,4.88,0.0,clear sky,68.0
153,faanui,-16.4833,300.32,0.77,4.0,clear sky,70.0
154,xiamen,24.4798,295.15,1.0,90.0,mist,94.0
155,kaitangata,-46.2817,284.26,0.89,81.0,broken clouds,67.0
156,banyo,6.75,292.14,0.86,99.0,light rain,96.0
157,cap-aux-meules,47.3821,279.15,3.09,6.0,clear sky,65.0
158,guadalupe y calvo,26.1,291.31,6.82,99.0,overcast clouds,22.0
159,road town,18.4167,300.15,4.12,40.0,scattered clouds,78.0
160,tomatlan,19.9333,304.39,5.4,0.0,clear sky,27.0
161,litovko,49.2361,277.76,4.09,79.0,light rain,57.0
162,norman wells,65.282,283.15,4.63,20.0,few clouds,43.0
163,tasiilaq,65.6145,273.15,5.14,0.0,clear sky,69.0
164,agucadoura,41.4318,287.04,4.99,0.0,clear sky,93.0
165,freeport,40.6576,289.15,4.63,90.0,overcast clouds,55.0
166,beloha,-25.1667,290.25,2.55,4.0,clear sky,71.0
167,santa cruz de tenerife,28.4682,291.48,6.17,20.0,few clouds,77.0
168,ghogha,21.6833,303.7,6.89,11.0,few clouds,48.0
169,tiksi,71.6872,270.83,2.67,100.0,overcast clouds,95.0
170,libres,19.4667,297.42,6.39,3.0,clear sky,25.0
171,shieli,44.1667,293.0,6.42,12.0,few clouds,20.0
172,meulaboh,4.1363,298.5,1.93,99.0,overcast clouds,89.0
173,baiao,-2.7906,297.92,0.69,83.0,light rain,88.0
174,mandalgovi,45.7625,270.84,5.76,21.0,few clouds,68.0
175,bambous virieux,-20.3428,298.15,2.06,40.0,light rain,100.0
176,waitati,-45.75,287.59,0.89,50.0,scattered clouds,50.0
177,hondo,32.45,288.15,5.66,75.0,broken clouds,82.0
178,pangnirtung,66.1451,273.15,3.09,1.0,clear sky,86.0
179,ponta do sol,32.6667,290.15,3.6,20.0,few clouds,67.0
180,killybegs,54.6333,279.82,5.36,84.0,broken clouds,87.0
181,chernyshevskiy,63.0128,271.93,0.68,100.0,overcast clouds,97.0
182,acarau,-2.8856,299.12,3.84,61.0,broken clouds,81.0
183,turukhansk,65.8167,265.91,1.61,48.0,scattered clouds,97.0
184,constitucion,-35.3333,286.61,2.3,100.0,light rain,93.0
185,saskylakh,71.9167,270.72,3.43,100.0,overcast clouds,95.0
186,khlung,12.4547,299.26,0.61,85.0,overcast clouds,99.0
187,klaksvik,62.2266,275.15,5.14,98.0,overcast clouds,93.0
188,saldanha,-33.0117,290.15,0.51,77.0,broken clouds,59.0
189,la rioja,42.25,284.82,2.06,0.0,clear sky,87.0
