,City,Latitude,Max Temp,Wind Speed,Cloudiness,Description,Humidity
402,pisco,-13.7,293.71,2.06,20.0,few clouds,83.0
403,dubbo,-32.25,286.15,3.09,90.0,light rain,100.0
404,matola,-25.9622,292.04,3.09,0.0,clear sky,88.0
405,sambava,-14.2667,296.98,1.89,61.0,broken clouds,93.0
406,huarmey,-10.0681,293.47,4.03,62.0,broken clouds,81.0
407,kisangani,0.5167,294.43,1.08,79.0,broken clouds,98.0
408,guerrero negro,27.9769,291.73,7.35,35.0,scattered clouds,61.0
409,kudahuvadhoo,2.6708,301.94,2.53,70.0,broken clouds,72.0
410,narsaq,60.9167,280.15,16.46,75.0,broken clouds,26.0
411,pahrump,36.2083,300.37,3.13,0.0,clear sky,7.0
412,kalmunai,7.4167,299.44,2.06,80.0,broken clouds,83.0
413,robertsganj,24.7,298.44,2.73,9.0,clear sky,41.0
414,kandri,21.4167,298.15,1.54,75.0,haze,61.0
415,mizque,-17.941,290.79,2.52,6.0,clear sky,68.0
416,nicoya,10.1483,299.15,1.54,75.0,broken clouds,89.0
417,dakar,14.6937,293.15,5.14,20.0,few clouds,94.0
418,halvad,23.0167,301.47,4.21,44.0,scattered clouds,55.0
419,kerrville,30.0474,307.04,4.12,1.0,clear sky,40.0
420,arauca,7.0847,298.15,1.03,100.0,overcast clouds,83.0
421,moose factory,51.2585,279.15,6.69,1.0,clear sky,61.0
422,malatya,38.5,294.15,1.03,75.0,light rain,46.0
423,sinnamary,5.3833,298.57,4.12,100.0,overcast clouds,87.0
424,fukue,32.6881,291.99,6.98,97.0,overcast clouds,75.0
425,san andres,12.5847,302.15,4.12,75.0,broken clouds,74.0
426,lindas,60.7381,276.48,1.94,35.0,scattered clouds,85.0
427,port blair,11.6667,301.96,3.11,69.0,broken clouds,75.0
428,tarboro,35.8968,298.15,1.54,75.0,mist,94.0
429,lata,40.1629,287.04,2.68,4.0,clear sky,84.0
430,dunedin,-45.8742,287.59,1.34,60.0,light rain,50.0
431,aswan,24.0934,302.34,3.98,0.0,clear sky,15.0
432,carauari,-4.8828,296.9,1.2,50.0,heavy intensity rain,89.0
433,latung,5.5,301.58,0.82,100.0,moderate rain,70.0
434,biak,-0.9131,299.16,2.29,72.0,broken clouds,74.0
435,teknaf,20.8624,298.88,1.32,70.0,broken clouds,85.0
436,kawambwa,-9.7915,288.57,3.37,49.0,scattered clouds,89.0
437,kushiro,42.975,282.15,5.66,20.0,few clouds,53.0
438,calabar,4.9517,296.45,0.76,100.0,overcast clouds,96.0
439,turaiyur,11.1667,301.15,0.85,40.0,mist,83.0
440,komsomolskiy,40.4272,293.15,3.09,75.0,broken clouds,56.0
441,benghazi,32.1167,295.46,9.04,65.0,broken clouds,64.0
442,simplicio mendes,-7.8539,300.48,3.38,81.0,broken clouds,42.0
443,ravar,31.2656,291.6,0.29,97.0,overcast clouds,56.0
444,sao jose da coroa grande,-8.8978,298.41,2.58,4.0,clear sky,79.0
445,smirnykh,49.75,277.7,5.27,39.0,scattered clouds,66.0
446,meadow lake,34.8014,292.15,6.17,75.0,broken clouds,22.0
447,weiser,44.251,295.15,3.6,1.0,clear sky,15.0
448,monrovia,6.3005,300.15,2.83,40.0,moderate rain,89.0
449,faya,18.3851,289.15,0.99,91.0,overcast clouds,82.0
450,setubal,38.5244,289.82,6.69,0.0,clear sky,51.0
451,ampanihy,-24.7,288.46,1.99,0.0,clear sky,80.0
452,yar-sale,66.8333,267.33,4.26,57.0,broken clouds,93.0
453,high level,58.5169,283.15,5.14,20.0,few clouds,34.0
454,chapais,49.7834,281.15,6.17,75.0,broken clouds,42.0
455,omsukchan,62.5333,268.67,2.16,73.0,broken clouds,82.0
456,shangrao,28.4532,293.94,0.84,98.0,light rain,91.0
457,marrakesh,31.6315,292.15,4.63,40.0,scattered clouds,55.0
458,davenda,53.5556,274.69,4.88,100.0,snow,98.0
459,salalah,17.0151,302.15,2.06,40.0,scattered clouds,79.0
460,kununurra,-15.7667,292.15,2.01,10.0,clear sky,94.0
461,seara,41.1818,287.04,0.79,18.0,few clouds,59.0
462,iquique,-20.2208,292.15,5.14,0.0,clear sky,68.0
463,mamaku,-38.1,287.04,0.45,10.0,clear sky,89.0
464,taylor,32.3001,299.82,6.17,40.0,scattered clouds,57.0
465,iwanai,42.9744,283.69,2.35,24.0,few clouds,66.0
466,dingle,10.9995,300.66,4.7,75.0,broken clouds,77.0
467,chabahar,25.2919,300.13,3.8,13.0,few clouds,78.0
468,bilma,18.6853,303.78,2.9,0.0,clear sky,4.0
469,kayunga,0.7025,290.95,0.84,91.0,light rain,98.0
470,karoi,-16.8099,286.71,2.52,90.0,overcast clouds,87.0
471,nakhon thai,17.1006,300.93,0.53,95.0,overcast clouds,36.0
472,puro,12.4841,300.58,5.68,76.0,broken clouds,80.0
473,ghanzi,-21.5667,287.44,3.3,0.0,clear sky,41.0
474,hofn,64.2539,274.15,6.49,67.0,broken clouds,61.0
475,villefranche-sur-saone,45.9833,284.15,0.51,0.0,clear sky,57.0
476,yar,58.249,284.91,5.89,100.0,overcast clouds,93.0
477,pizhma,57.8642,286.78,5.88,100.0,heavy intensity rain,94.0
478,margate,51.3813,282.59,4.47,100.0,overcast clouds,74.0
479,mount isa,-20.7333,294.15,5.84,28.0,scattered clouds,46.0
480,peniche,39.3558,287.04,2.68,0.0,clear sky,82.0
481,fairbanks,64.8378,289.15,2.57,1.0,clear sky,25.0
482,marzuq,14.4,296.14,2.32,100.0,overcast clouds,60.0
483,gualaceo,-2.9,288.15,1.54,75.0,light rain,77.0
484,suhut,38.5311,289.89,1.83,91.0,overcast clouds,38.0
485,burnie,-41.0667,282.04,3.58,48.0,scattered clouds,71.0
486,orange,33.7,297.59,4.63,1.0,clear sky,53.0
487,cockburn town,21.4612,300.15,5.14,40.0,scattered clouds,65.0
488,morros,-9.4467,298.18,1.18,38.0,scattered clouds,57.0
489,ca mau,9.1769,300.02,1.87,96.0,overcast clouds,81.0
490,gao,16.6362,304.25,4.6,0.0,clear sky,4.0
491,lac du bonnet,50.2536,279.82,5.81,100.0,overcast clouds,89.0
492,ketchikan,55.3422,282.15,5.14,90.0,light rain,81.0
493,arona,28.0996,292.15,7.2,40.0,scattered clouds,55.0
494,waipawa,-41.4122,289.15,6.69,42.0,scattered clouds,63.0
495,itirucu,-13.5317,291.6,2.7,100.0,overcast clouds,86.0
496,cidreira,-30.1811,294.8,5.68,0.0,clear sky,82.0
497,atchison,39.563,292.04,6.17,90.0,overcast clouds,68.0
498,nieuwpoort,51.1244,283.71,6.17,90.0,light rain,71.0
499,lynchburg,37.4138,296.15,5.66,40.0,scattered clouds,73.0
500,bandarbeyla,9.4942,301.76,1.29,41.0,scattered clouds,70.0
501,diamantino,-14.4086,300.48,0.98,75.0,broken clouds,59.0
502,orel-izumrud,43.4583,288.15,3.0,20.0,few clouds,82.0
503,canico,32.6333,290.15,3.6,20.0,few clouds,67.0
504,yashan,22.1975,297.32,1.51,79.0,broken clouds,94.0
505,otradnoye,59.7775,275.37,6.0,90.0,moderate rain,87.0
506,marsh harbour,26.5412,299.01,5.87,100.0,overcast clouds,77.0
507,bila,43.7825,275.93,2.68,58.0,broken clouds,71.0
508,acajutla,13.5928,303.15,1.03,40.0,scattered clouds,54.0
509,vila franca do campo,37.7167,289.15,1.54,40.0,scattered clouds,94.0
510,yenagoa,4.9247,297.41,1.72,100.0,overcast clouds,95.0
511,palu,-0.8917,298.28,1.17,77.0,broken clouds,91.0
512,kidal,18.4411,305.24,4.48,0.0,clear sky,4.0
513,tall kayf,37.0833,295.15,5.14,0.0,clear sky,26.0
514,balabac,7.9868,301.01,5.8,100.0,overcast clouds,79.0
515,lake cowichan,48.825,283.71,2.57,90.0,light rain,81.0
516,aksarka,66.5606,269.01,5.78,96.0,overcast clouds,87.0
517,lasa,46.6166,283.15,0.86,0.0,clear sky,56.0
518,evensk,61.95,270.12,8.01,0.0,clear sky,68.0
519,mahajanga,-15.7167,298.15,1.54,0.0,clear sky,94.0
520,port hardy,50.6996,282.15,2.06,90.0,light rain,100.0
521,kysyl-syr,63.8986,275.59,1.12,93.0,overcast clouds,91.0
522,leshukonskoye,64.8989,271.34,2.7,93.0,overcast clouds,67.0
523,bloomingdale,27.8936,306.15,4.63,1.0,clear sky,52.0
524,awbari,26.5921,302.87,3.61,61.0,broken clouds,6.0
525,nuuk,64.1835,281.15,4.12,20.0,few clouds,36.0
526,brigantine,39.4101,290.37,5.66,90.0,heavy intensity rain,82.0
527,vila velha,-20.3297,295.15,1.54,0.0,clear sky,88.0
528,longyan,25.1072,293.7,1.2,99.0,overcast clouds,97.0
529,pandharpur,17.6667,304.1,2.34,96.0,overcast clouds,37.0
530,itoman,26.1247,296.15,4.63,75.0,broken clouds,73.0
531,micomeseng,2.1462,293.14,0.45,93.0,overcast clouds,98.0
532,muros,42.7762,283.71,3.38,33.0,scattered clouds,78.0
533,witu,-2.3889,297.91,2.48,99.0,overcast clouds,85.0
534,poyarkovo,49.6,282.75,9.85,100.0,light rain,66.0
535,basco,20.4487,299.99,9.43,80.0,broken clouds,78.0
536,yulara,-25.2406,287.15,2.57,99.0,overcast clouds,67.0
537,jasper,37.2001,296.15,3.6,90.0,overcast clouds,68.0
538,barentu,15.1139,297.44,0.75,100.0,overcast clouds,53.0
539,tilichiki,60.4667,265.52,3.69,89.0,overcast clouds,86.0
540,erzin,36.9559,293.71,0.77,58.0,broken clouds,87.0
541,broome,42.2506,288.71,4.12,90.0,light rain,82.0
542,villa carlos paz,-31.4241,294.82,6.71,94.0,overcast clouds,73.0
543,bytow,54.1706,278.15,2.77,6.0,clear sky,89.0
544,port-de-bouc,43.4,283.15,2.06,0.0,clear sky,87.0
545,salavat,53.3837,285.89,2.96,24.0,few clouds,75.0
546,zyryanovsk,49.7386,278.93,1.01,100.0,overcast clouds,53.0
547,roald,62.5833,278.15,5.14,75.0,broken clouds,81.0
548,nome,64.5011,279.15,7.2,1.0,clear sky,52.0
549,gemena,3.25,294.11,1.06,100.0,overcast clouds,96.0
550,russell,32.3502,302.15,5.14,20.0,few clouds,65.0
551,urengoy,65.9667,266.06,3.12,34.0,scattered clouds,94.0
552,boende,-0.2167,294.38,0.8,100.0,light rain,97.0
553,loandjili,-4.7561,299.15,2.06,20.0,few clouds,89.0
554,kloulklubed,7.0419,299.15,3.09,75.0,broken clouds,89.0
555,panlaitan,12.1191,301.94,4.33,54.0,broken clouds,72.0
556,ekibastuz,51.6667,281.54,5.54,60.0,broken clouds,86.0
557,partapur,23.6,302.91,1.87,12.0,few clouds,25.0
558,liverpool,53.4106,284.15,6.69,75.0,moderate rain,82.0
559,wilmington,34.2257,301.15,6.17,1.0,clear sky,51.0
560,baiyin,36.5583,278.15,4.0,97.0,overcast clouds,38.0
561,coquimbo,-29.9533,290.15,2.57,0.0,clear sky,72.0
562,mount barker,-35.0667,283.71,3.87,53.0,broken clouds,98.0
563,namibe,-15.1961,298.12,0.68,40.0,scattered clouds,73.0
564,saint george,37.1041,298.71,2.06,1.0,clear sky,17.0
565,sept-iles,50.2001,281.48,8.23,75.0,broken clouds,45.0
566,tezu,27.9167,294.94,0.91,98.0,overcast clouds,71.0
567,zachepylivka,49.1939,280.26,5.62,41.0,scattered clouds,71.0
568,portland,45.5234,291.15,3.6,90.0,overcast clouds,45.0
569,loikaw,19.6742,293.84,1.24,0.0,clear sky,73.0
570,jardim,-21.4803,300.89,0.86,61.0,broken clouds,39.0
571,maracaju,-21.6144,300.76,2.75,68.0,broken clouds,33.0
572,izazi,-7.2,291.15,3.6,1.0,clear sky,72.0
573,ibanda,-2.7974,295.15,1.78,75.0,broken clouds,88.0
574,villebon-sur-yvette,48.7059,285.37,7.2,0.0,clear sky,46.0
575,zyryanskoye,56.8306,279.38,6.65,100.0,moderate rain,89.0
576,sola,-13.8833,301.15,1.66,20.0,few clouds,94.0
577,pokosnoye,55.5258,276.95,2.31,100.0,overcast clouds,89.0
578,nova russas,-4.7067,297.33,1.64,100.0,light rain,83.0
579,port-cartier,50.0334,280.93,8.23,75.0,broken clouds,45.0
580,obera,-27.4871,294.82,1.42,8.0,clear sky,62.0
581,hidalgo,20.5,302.58,2.03,0.0,clear sky,10.0
582,desdunes,19.2955,301.37,1.73,66.0,broken clouds,62.0
