"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/26/2022 09:46:27 am,180.823,1.00,,
09/26/2022 09:46:27 am,180.895,0.00,0.07,0.69
09/26/2022 09:46:31 am,184.518,1.00,,
09/26/2022 09:46:31 am,184.595,0.00,0.08,0.65
09/26/2022 09:46:35 am,188.078,1.00,,
09/26/2022 09:46:35 am,188.170,0.00,0.09,0.54
09/26/2022 09:46:38 am,191.696,1.00,,
09/26/2022 09:46:38 am,191.791,0.00,0.10,0.53
09/26/2022 09:46:42 am,195.366,1.00,,
09/26/2022 09:46:42 am,195.440,0.00,0.07,0.68
09/26/2022 09:46:45 am,198.964,1.00,,
09/26/2022 09:46:46 am,199.047,0.00,0.08,0.60
09/26/2022 09:46:49 am,202.565,1.00,,
09/26/2022 09:46:49 am,202.658,0.00,0.09,0.54
09/26/2022 09:46:53 am,206.216,1.00,,
09/26/2022 09:46:53 am,206.306,0.00,0.09,0.56
09/26/2022 09:46:56 am,209.844,1.00,,
09/26/2022 09:46:56 am,209.916,0.00,0.07,0.69
09/26/2022 09:47:00 am,213.432,1.00,,
09/26/2022 09:47:00 am,213.520,0.00,0.09,0.57
09/26/2022 09:47:04 am,217.070,1.00,,
09/26/2022 09:47:04 am,217.172,0.00,0.10,0.49
09/26/2022 09:47:07 am,220.730,1.00,,
09/26/2022 09:47:07 am,220.818,0.00,0.09,0.57
09/26/2022 09:47:11 am,224.288,1.00,,
09/26/2022 09:47:11 am,224.370,0.00,0.08,0.61
09/26/2022 09:47:14 am,227.972,1.00,,
09/26/2022 09:47:15 am,228.060,0.00,0.09,0.57
09/26/2022 09:47:18 am,231.569,1.00,,
09/26/2022 09:47:18 am,231.675,0.00,0.11,0.47
09/26/2022 09:47:22 am,235.168,1.00,,
09/26/2022 09:47:22 am,235.256,0.00,0.09,0.57
09/26/2022 09:47:25 am,238.842,1.00,,
09/26/2022 09:47:25 am,238.916,0.00,0.07,0.68
09/26/2022 09:47:29 am,242.451,1.00,,
09/26/2022 09:47:29 am,242.541,0.00,0.09,0.56
09/26/2022 09:47:33 am,246.063,1.00,,
09/26/2022 09:47:33 am,246.157,0.00,0.09,0.53
09/26/2022 09:47:36 am,249.700,1.00,,
09/26/2022 09:47:36 am,249.781,0.00,0.08,0.61
09/26/2022 09:47:40 am,253.352,1.00,,
09/26/2022 09:47:40 am,253.431,0.00,0.08,0.64
09/26/2022 09:47:43 am,256.922,1.00,,
09/26/2022 09:47:44 am,257.023,0.00,0.10,0.50
09/26/2022 09:47:47 am,260.562,1.00,,
09/26/2022 09:47:47 am,260.663,0.00,0.10,0.49
09/26/2022 09:47:51 am,264.222,1.00,,
09/26/2022 09:47:51 am,264.314,0.00,0.09,0.55
09/26/2022 09:47:54 am,267.782,1.00,,
09/26/2022 09:47:54 am,267.873,0.00,0.09,0.55
09/26/2022 09:47:58 am,271.442,1.00,,
09/26/2022 09:47:58 am,271.543,0.00,0.10,0.49
09/26/2022 09:48:02 am,275.068,1.00,,
09/26/2022 09:48:02 am,275.176,0.00,0.11,0.47
09/26/2022 09:48:05 am,278.668,1.00,,
09/26/2022 09:48:05 am,278.749,0.00,0.08,0.62
09/26/2022 09:48:09 am,282.320,1.00,,
09/26/2022 09:48:09 am,282.402,0.00,0.08,0.61
09/26/2022 09:48:12 am,285.939,1.00,,
09/26/2022 09:48:13 am,286.034,0.00,0.09,0.53
09/26/2022 09:48:16 am,289.563,1.00,,
09/26/2022 09:48:16 am,289.657,0.00,0.09,0.53
09/26/2022 09:48:20 am,293.167,1.00,,
09/26/2022 09:48:20 am,293.246,0.00,0.08,0.63
09/26/2022 09:48:23 am,296.827,1.00,,
09/26/2022 09:48:23 am,296.920,0.00,0.09,0.54
09/26/2022 09:48:27 am,300.392,1.00,,
09/26/2022 09:48:27 am,300.506,0.00,0.11,0.44
09/26/2022 09:48:31 am,304.010,1.00,,
09/26/2022 09:48:31 am,304.113,0.00,0.10,0.49
09/26/2022 09:48:34 am,307.685,1.00,,
09/26/2022 09:48:34 am,307.781,0.00,0.10,0.52
09/26/2022 09:48:38 am,311.253,1.00,,
