Time In Gate, Ch 1, Run #16
Time ( s )	Elapsed Time ( s )
0.3732	0.0714
1.4114	0.0715
2.4123	0.0716
3.4504	0.0715
4.4516	0.0715
5.4897	0.0715
6.4907	0.0717
7.5288	0.0716
8.5298	0.0716
9.5681	0.0716
10.5690	0.0718
11.6072	0.0717
12.6082	0.0717
13.6464	0.0717
14.6473	0.0718
15.6855	0.0718
16.6865	0.0719
17.7247	0.0718
18.7257	0.0719
19.7639	0.0718
20.7647	0.0719
21.8030	0.0719
22.8039	0.0720
23.8422	0.0720
24.8430	0.0721
25.8813	0.0720
26.8821	0.0721
27.9204	0.0721
28.9212	0.0721
29.9596	0.0722
30.9604	0.0722
31.9987	0.0721
32.9995	0.0723
34.0379	0.0722
35.0387	0.0723
36.0770	0.0722
37.0778	0.0723
38.1161	0.0723
39.1169	0.0724
40.1553	0.0724
41.1560	0.0724
42.1945	0.0725
43.1951	0.0725
44.2335	0.0725
45.2343	0.0725
46.2727	0.0726
47.2734	0.0726
48.3118	0.0726
49.3125	0.0726
50.3509	0.0727
51.3516	0.0727
52.3901	0.0728
53.3907	0.0728
54.4292	0.0728
55.4298	0.0728
56.4684	0.0729
57.4690	0.0729
58.5074	0.0729
59.5080	0.0730
60.5465	0.0729
61.5471	0.0730
62.5856	0.0729
63.5862	0.0730
64.6248	0.0730
