Time In Gate, Ch 1, Run #11
Time ( s )	Elapsed Time ( s )
0.8725	0.0794
1.8485	0.0795
2.8239	0.0795
3.7997	0.0795
4.7752	0.0797
5.7511	0.0795
6.7265	0.0797
7.7025	0.0797
8.6779	0.0798
9.6538	0.0798
10.6292	0.0799
11.6051	0.0799
12.5806	0.0799
13.5566	0.0799
14.5319	0.0801
15.5079	0.0800
16.4832	0.0801
17.4592	0.0801
18.4346	0.0801
19.4106	0.0801
20.3860	0.0802
21.3619	0.0802
22.3373	0.0804
23.3132	0.0803
24.2886	0.0803
25.2646	0.0804
26.2400	0.0804
27.2159	0.0804
28.1913	0.0806
29.1672	0.0806
30.1426	0.0807
31.1186	0.0806
32.0940	0.0807
33.0700	0.0807
34.0454	0.0808
35.0212	0.0807
35.9967	0.0808
36.9726	0.0808
37.9481	0.0809
38.9239	0.0809
39.8993	0.0809
40.8753	0.0810
41.8508	0.0811
42.8266	0.0810
43.8020	0.0811
44.7780	0.0811
45.7533	0.0813
46.7293	0.0812
47.7047	0.0812
48.6806	0.0812
49.6560	0.0814
50.6319	0.0814
51.6073	0.0814
52.5832	0.0814
53.5586	0.0815
54.5345	0.0815
55.5100	0.0815
56.4858	0.0816
57.4612	0.0817
58.4371	0.0816
59.4125	0.0817
60.3884	0.0817
61.3639	0.0818
62.3397	0.0818
