Time In Gate, Ch 1, Run #4
Time ( s )	Elapsed Time ( s )
0.6120	0.0807
1.5934	0.0807
2.5907	0.0807
3.5719	0.0808
4.5692	0.0807
5.5504	0.0809
6.5476	0.0808
7.5289	0.0809
8.5261	0.0810
9.5074	0.0809
10.5047	0.0809
11.4859	0.0810
12.4832	0.0809
13.4644	0.0810
14.4616	0.0810
15.4429	0.0811
16.4402	0.0811
17.4215	0.0811
18.4187	0.0812
19.3999	0.0812
20.3972	0.0812
21.3784	0.0813
22.3756	0.0813
23.3569	0.0813
24.3541	0.0813
25.3354	0.0813
26.3327	0.0814
27.3139	0.0814
28.3112	0.0814
29.2924	0.0814
30.2897	0.0814
31.2709	0.0815
32.2682	0.0814
33.2493	0.0815
34.2466	0.0815
35.2279	0.0816
36.2252	0.0816
37.2064	0.0816
38.2037	0.0816
39.1849	0.0817
40.1822	0.0816
41.1634	0.0817
42.1607	0.0817
43.1419	0.0818
44.1393	0.0817
45.1204	0.0818
46.1178	0.0818
47.0989	0.0818
48.0962	0.0819
49.0774	0.0820
50.0747	0.0819
51.0559	0.0820
52.0533	0.0819
53.0344	0.0820
54.0318	0.0820
55.0130	0.0821
56.0102	0.0821
56.9914	0.0820
57.9887	0.0821
58.9699	0.0822
59.9672	0.0821
60.9484	0.0822
61.9458	0.0822
62.9269	0.0823
63.9243	0.0823
