Time In Gate, Ch 1, Run #1
Time ( s )	Elapsed Time ( s )
0.9653	0.1081
1.9590	0.1083
2.9570	0.1082
3.9507	0.1084
4.9487	0.1084
5.9424	0.1085
6.9405	0.1085
7.9342	0.1087
8.9322	0.1087
9.9260	0.1088
10.9240	0.1088
11.9178	0.1089
12.9158	0.1088
13.9095	0.1089
14.9076	0.1089
15.9013	0.1091
16.8993	0.1090
17.8931	0.1093
18.8911	0.1092
19.8849	0.1093
20.8828	0.1093
21.8766	0.1095
22.8746	0.1094
23.8683	0.1096
24.8663	0.1095
25.8600	0.1097
26.8581	0.1096
27.8518	0.1097
28.8499	0.1098
29.8435	0.1099
30.8416	0.1098
31.8353	0.1099
32.8334	0.1100
33.8271	0.1101
34.8252	0.1101
35.8188	0.1103
36.8169	0.1102
37.8106	0.1104
38.8086	0.1103
39.8024	0.1105
40.8004	0.1104
41.7940	0.1105
42.7921	0.1105
43.7858	0.1107
44.7839	0.1107
45.7776	0.1108
46.7756	0.1108
47.7693	0.1109
48.7673	0.1109
49.7610	0.1111
50.7591	0.1110
51.7528	0.1112
52.7508	0.1111
53.7445	0.1113
54.7426	0.1112
55.7362	0.1114
56.7343	0.1114
57.7280	0.1115
58.7259	0.1115
59.7196	0.1117
