Time In Gate, Ch 1, Run #14
Time ( s )	Elapsed Time ( s )
0.8919	0.0785
1.8887	0.0785
2.8916	0.0786
3.8883	0.0785
4.8914	0.0786
5.8881	0.0786
6.8911	0.0787
7.8879	0.0787
8.8909	0.0788
9.8876	0.0787
10.8907	0.0788
11.8874	0.0788
12.8905	0.0789
13.8871	0.0789
14.8902	0.0789
15.8867	0.0789
16.8899	0.0789
17.8865	0.0789
18.8896	0.0790
19.8862	0.0791
20.8894	0.0791
21.8860	0.0790
22.8891	0.0790
23.8858	0.0791
24.8888	0.0791
25.8854	0.0791
26.8886	0.0792
27.8852	0.0792
28.8883	0.0792
29.8850	0.0793
30.8880	0.0793
31.8846	0.0793
32.8877	0.0793
33.8843	0.0793
34.8874	0.0794
35.8841	0.0794
36.8872	0.0795
37.8838	0.0794
38.8869	0.0796
39.8835	0.0795
40.8866	0.0796
41.8833	0.0795
42.8864	0.0797
43.8830	0.0797
44.8860	0.0797
45.8826	0.0797
46.8857	0.0797
47.8824	0.0798
48.8855	0.0798
49.8821	0.0798
50.8852	0.0798
51.8818	0.0798
52.8849	0.0799
53.8816	0.0799
54.8846	0.0800
55.8812	0.0800
56.8843	0.0800
57.8809	0.0800
58.8840	0.0800
59.8806	0.0800
60.8837	0.0800
61.8803	0.0800
62.8833	0.0801
63.8800	0.0802
