Time In Gate, Ch 1, Run #9
Time ( s )	Elapsed Time ( s )
0.4137	0.0783
1.3679	0.0783
2.3328	0.0784
3.2869	0.0783
4.2519	0.0785
5.2059	0.0784
6.1709	0.0786
7.1250	0.0785
8.0900	0.0786
9.0440	0.0786
10.0090	0.0787
10.9630	0.0787
11.9282	0.0788
12.8821	0.0787
13.8472	0.0788
14.8012	0.0789
15.7664	0.0789
16.7203	0.0789
17.6854	0.0790
18.6394	0.0790
19.6044	0.0791
20.5584	0.0790
21.5235	0.0792
22.4774	0.0791
23.4426	0.0792
24.3965	0.0792
25.3616	0.0794
26.3155	0.0793
27.2806	0.0793
28.2345	0.0793
29.1997	0.0794
30.1536	0.0794
31.1187	0.0795
32.0726	0.0795
33.0378	0.0796
33.9917	0.0796
34.9569	0.0797
35.9107	0.0797
36.8759	0.0798
37.8298	0.0798
38.7950	0.0798
39.7489	0.0798
40.7141	0.0799
41.6680	0.0799
42.6331	0.0800
43.5870	0.0800
44.5521	0.0801
45.5060	0.0800
46.4712	0.0801
47.4250	0.0801
48.3902	0.0802
49.3441	0.0802
50.3093	0.0803
51.2631	0.0802
52.2283	0.0804
53.1822	0.0803
54.1473	0.0804
55.1012	0.0804
56.0663	0.0805
57.0202	0.0805
57.9854	0.0806
58.9392	0.0806
59.9044	0.0806
60.8582	0.0806
61.8234	0.0807
62.7772	0.0807
63.7425	0.0808
